sample,raw_pcm16,shifted_rne1,centered,hann_q15,hann_product,windowed_rne15,selected_real_product,selected_imag_product
128,330,165,181,4798,868438,27,-625590,625590
129,391,196,212,4870,1032440,32,-718336,763840
130,407,204,220,4942,1087240,33,-716265,810051
131,464,232,248,5014,1243472,38,-795796,957638
132,523,262,278,5086,1413908,43,-866837,1110776
133,529,264,280,5160,1444800,44,-851708,1163272
134,554,277,293,5233,1533269,47,-871239,1269893
135,575,288,304,5306,1613024,49,-867300,1351175
136,576,288,304,5381,1635824,50,-842300,1405250
137,543,272,288,5456,1571328,48,-766848,1373232
138,462,231,247,5531,1366157,42,-633780,1221570
139,387,194,210,5606,1177260,36,-510876,1063224
140,328,164,180,5682,1022760,31,-411649,928636
141,308,154,170,5758,978860,30,-370590,910470
142,324,162,178,5836,1038808,32,-365344,982848
143,296,148,164,5912,969568,30,-314070,931500
144,247,124,140,5990,838600,26,-247312,815256
145,209,104,120,6068,728160,22,-187990,695926
146,205,102,118,6146,725228,22,-166562,701360
147,202,101,117,6225,728325,22,-144980,706156
148,205,102,118,6304,743872,23,-128846,742555
149,169,84,100,6384,638400,19,-87571,616379
150,115,58,74,6463,478262,15,-54180,488505
151,49,24,40,6544,261760,8,-20888,261304
152,24,12,28,6624,185472,6,-9648,196368
153,78,39,55,6705,368775,11,-6633,360371
154,114,57,73,6786,495378,15,6030,491475
155,104,52,68,6868,467024,14,19698,458318
156,81,40,56,6950,389200,12,28920,392136
157,75,38,54,7032,379728,12,40944,391068
158,75,38,54,7115,384210,12,52920,389628
159,124,62,78,7198,561444,17,91868,549406
160,155,78,94,7282,684508,21,134253,674877
161,142,71,87,7365,640755,20,147500,638520
162,109,54,70,7449,521430,16,133616,506960
163,119,60,76,7534,572584,17,158423,534038
164,74,37,53,7618,403754,12,123336,373356
165,26,13,29,7704,223416,7,78596,215481
166,7,4,20,7789,155780,5,60835,152120
167,-2,-1,15,7874,118110,4,52376,120148
168,-45,-22,-6,7960,-47760,-1,-14010,-29621
169,-76,-38,-22,8047,-177034,-5,-74560,-145885
170,-82,-41,-25,8134,-203350,-6,-94800,-172236
171,-81,-40,-24,8221,-197304,-6,-100038,-169248
172,-34,-17,-1,8308,-8308,0,0,0
173,-1,0,16,8396,134336,4,73484,108532
174,-49,-24,-8,8484,-67872,-2,-38390,-53112
175,-72,-36,-20,8572,-171440,-5,-100000,-129775
176,-33,-16,0,8660,0,0,0,0
177,-41,-20,-4,8749,-34996,-1,-21554,-24680
178,-30,-15,1,8838,8838,0,0,0
179,-30,-15,1,8928,8928,0,0,0
180,-39,-20,-4,9018,-36072,-1,-23731,-22594
181,-85,-42,-26,9107,-236782,-7,-170891,-152992
182,-148,-74,-58,9198,-533484,-16,-401152,-337536
183,-161,-80,-64,9288,-594432,-18,-462744,-365706
184,-184,-92,-76,9378,-712728,-22,-579018,-429418
185,-183,-92,-76,9470,-719720,-22,-591910,-411466
186,-185,-92,-76,9561,-726636,-22,-604252,-393118
187,-241,-120,-104,9652,-1003808,-31,-868031,-527558
188,-277,-138,-122,9744,-1188768,-36,-1026360,-581436
189,-248,-124,-108,9836,-1062288,-32,-927744,-488608
190,-253,-126,-110,9928,-1092080,-33,-971751,-474276
191,-321,-160,-144,10021,-1443024,-44,-1314456,-592328
192,-323,-162,-146,10114,-1476644,-45,-1362285,-564255
193,-259,-130,-114,10207,-1163598,-36,-1103148,-417780
194,-218,-109,-93,10300,-957900,-29,-898565,-309111
195,-213,-106,-90,10394,-935460,-29,-907613,-281416
196,-194,-97,-81,10487,-849447,-26,-821080,-227214
197,-201,-100,-84,10581,-888804,-27,-859491,-209709
198,-231,-116,-100,10675,-1067500,-33,-1057881,-223938
199,-264,-132,-116,10770,-1249320,-38,-1225500,-220400
200,-293,-146,-130,10864,-1412320,-43,-1393716,-206744
201,-375,-188,-172,10959,-1884948,-58,-1887610,-221038
202,-426,-213,-197,11054,-2177638,-66,-2154636,-185526
203,-405,-202,-186,11149,-2073714,-63,-2061171,-113967
204,-419,-210,-194,11244,-2181336,-67,-2194719,-53868
205,-407,-204,-188,11340,-2131920,-65,-2129790,13065
206,-394,-197,-181,11436,-2069916,-63,-2062935,75978
207,-454,-227,-211,11532,-2433252,-74,-2419208,163540
208,-488,-244,-228,11628,-2651184,-81,-2641329,260172
209,-410,-205,-189,11724,-2215836,-68,-2209660,286280
210,-286,-143,-127,11820,-1501140,-46,-1488146,239430
211,-209,-104,-88,11917,-1048696,-32,-1029632,198240
212,-212,-106,-90,12014,-1081260,-33,-1055043,236907
213,-245,-122,-106,12111,-1283766,-39,-1237704,318123
214,-316,-158,-142,12208,-1733536,-53,-1667910,483678
215,-358,-179,-163,12305,-2005715,-61,-1901736,615307
216,-378,-189,-173,12402,-2145546,-65,-2005380,717535
217,-391,-196,-180,12500,-2250000,-69,-2104362,826620
218,-378,-189,-173,12598,-2179454,-67,-2017839,864970
219,-330,-165,-149,12696,-1891704,-58,-1722948,802024
220,-331,-166,-150,12794,-1919100,-59,-1726812,869188
221,-312,-156,-140,12892,-1804880,-55,-1584165,859265
222,-271,-136,-120,12990,-1558800,-48,-1358880,791952
223,-291,-146,-130,13088,-1701440,-52,-1445080,902720
224,-309,-154,-138,13187,-1819806,-56,-1525720,1019424
225,-340,-170,-154,13286,-2046044,-62,-1653788,1179984
226,-348,-174,-158,13384,-2114672,-65,-1695005,1289665
227,-359,-180,-164,13484,-2211376,-67,-1705552,1382277
228,-398,-199,-183,13582,-2485506,-76,-1885636,1626628
229,-411,-206,-190,13682,-2599580,-79,-1907297,1750166
230,-387,-194,-178,13781,-2453018,-75,-1758900,1716300
231,-407,-204,-188,13880,-2609440,-80,-1819120,1887360
232,-439,-220,-204,13980,-2851920,-87,-1914435,2112273
233,-469,-234,-218,14079,-3069222,-94,-1997500,2344548
234,-423,-212,-196,14178,-2778888,-85,-1740375,2174470
235,-315,-158,-142,14278,-2027476,-62,-1220160,1624276
236,-315,-158,-142,14378,-2041676,-62,-1169816,1660980
237,-370,-185,-169,14478,-2446782,-75,-1352775,2051700
238,-364,-182,-166,14578,-2419948,-74,-1271986,2064304
239,-371,-186,-170,14678,-2495260,-76,-1240700,2159236
240,-365,-182,-166,14778,-2453148,-75,-1158450,2167350
241,-359,-180,-164,14878,-2439992,-74,-1076922,2172492
242,-327,-164,-148,14978,-2216744,-68,-927860,2025788
243,-326,-163,-147,15078,-2216466,-68,-865300,2053260
244,-348,-174,-158,15178,-2398124,-73,-860889,2231683
245,-344,-172,-156,15278,-2383368,-73,-791977,2257087
246,-307,-154,-138,15379,-2122302,-65,-643240,2030405
247,-310,-155,-139,15479,-2151581,-66,-589578,2080716
248,-274,-137,-121,15580,-1885180,-58,-461796,1843530
249,-253,-126,-110,15680,-1724800,-53,-370099,1696742
250,-305,-152,-136,15780,-2146080,-65,-389870,2093845
251,-348,-174,-158,15881,-2509198,-77,-385539,2493414
252,-358,-179,-163,15982,-2605066,-80,-320880,2601680
253,-308,-154,-138,16082,-2219316,-68,-204816,2218704
254,-304,-152,-136,16182,-2200752,-67,-134603,2191235
255,-285,-142,-126,16283,-2051658,-63,-63315,2063376
256,-267,-134,-118,16384,-1933312,-59,0,1933253
257,-254,-127,-111,16484,-1829724,-56,56280,1834112
258,-240,-120,-104,16584,-1724736,-53,106477,1733365
259,-213,-106,-90,16685,-1501650,-46,138552,1500888
260,-241,-120,-104,16786,-1745744,-53,212583,1723613
261,-260,-130,-114,16886,-1925004,-59,295413,1910538
262,-273,-136,-120,16986,-2038320,-62,371876,1997206
263,-321,-160,-144,17087,-2460528,-75,523725,2401050
264,-310,-155,-139,17188,-2389132,-73,581226,2320305
265,-266,-133,-117,17288,-2022696,-62,553846,1954612
266,-215,-108,-92,17388,-1599696,-49,484904,1530613
267,-161,-80,-64,17488,-1119232,-34,368866,1051246
268,-155,-78,-62,17588,-1090456,-33,389169,1008843
269,-115,-58,-42,17689,-742938,-23,292675,694485
270,-133,-66,-50,17789,-889450,-27,368415,804357
271,-121,-60,-44,17890,-787160,-24,349272,704592
272,-55,-28,-12,17990,-215880,-7,108122,202286
273,-22,-11,5,18090,90450,3,-48975,-85233
274,12,6,22,18190,400180,12,-206268,-334752
275,71,36,52,18289,951028,29,-523073,-793324
276,80,40,56,18389,1029784,31,-584908,-830490
277,26,13,29,18488,536152,16,-314880,-419168
278,-25,-12,4,18588,74352,2,-40950,-51164
279,-84,-42,-26,18688,-485888,-15,318750,374130
280,-46,-23,-7,18788,-131516,-4,88020,97116
281,43,22,38,18887,717706,22,-500258,-519024
282,127,64,80,18986,1518880,46,-1078792,-1052664
283,201,100,116,19086,2213976,68,-1641724,-1506472
284,234,117,133,19184,2551472,78,-1935258,-1669434
285,270,135,151,19284,2911884,89,-2265584,-1836159
286,294,147,163,19382,3159266,96,-2503392,-1904736
287,261,130,146,19481,2844226,87,-2320638,-1655784
288,290,145,161,19580,3152380,96,-2615520,-1747584
289,341,170,186,19678,3660108,112,-3112480,-1944320
290,289,144,160,19776,3164160,97,-2746070,-1600403
291,282,141,157,19875,3120375,95,-2736285,-1484185
292,267,134,150,19973,2995950,91,-2663388,-1340612
293,267,134,150,20071,3010650,92,-2732952,-1272176
294,321,160,176,20169,3549744,108,-3252636,-1394280
295,352,176,192,20267,3891264,119,-3629262,-1425620
296,352,176,192,20364,3909888,119,-3671388,-1313641
297,372,186,202,20462,4133324,126,-3928176,-1270962
298,356,178,194,20559,3988446,122,-3839340,-1113372
299,324,162,178,20656,3676768,112,-3554432,-913584
300,264,132,148,20753,3071444,94,-3005274,-674826
301,227,114,130,20850,2710500,83,-2670608,-514185
302,239,120,136,20946,2848656,87,-2814537,-452835
303,209,104,120,21043,2525160,77,-2502115,-324170
304,233,116,132,21140,2790480,85,-2771765,-273020
305,276,138,154,21236,3270344,100,-3269200,-221000
306,239,120,136,21332,2901152,89,-2914305,-107334
307,176,88,104,21427,2228408,68,-2228088,-13668
308,127,64,80,21522,1721760,53,-1736121,42612
309,90,45,61,21618,1318698,40,-1308680,72360
310,48,24,40,21713,868520,27,-881442,75897
311,46,23,39,21808,850512,26,-846170,99086
312,67,34,50,21903,1095150,33,-1069596,158664
313,79,40,56,21998,1231888,38,-1225500,220400
314,94,47,63,22092,1391796,42,-1346394,285012
315,43,22,38,22186,843068,26,-827658,201942
316,-1,0,16,22280,356480,11,-347380,96129
317,-14,-7,9,22374,201366,6,-187782,58224
318,2,1,17,22467,381939,12,-371820,127908
319,30,15,31,22560,699360,21,-643503,243705
320,66,33,49,22653,1109997,34,-1029282,426326
321,75,38,54,22746,1228284,37,-1105338,498094
322,18,9,25,22838,570950,17,-500599,244324
323,-10,-5,11,22930,252230,8,-231936,122152
324,-24,-12,4,23023,92092,3,-85530,48453
325,-23,-12,4,23114,92456,3,-84003,51054
326,-11,-6,10,23206,232060,7,-192262,125083
327,52,26,42,23298,978516,30,-807150,561090
328,96,48,64,23388,1496832,46,-1210674,897874
329,124,62,78,23479,1831362,56,-1439648,1137752
330,134,67,83,23570,1956310,60,-1504320,1265760
331,89,44,60,23660,1419600,43,-1049759,939808
332,54,27,43,23750,1021250,31,-735661,700414
333,64,32,48,23840,1144320,35,-805945,815885
334,80,40,56,23928,1339968,41,-914341,984287
335,119,60,76,24018,1825368,56,-1207024,1382080
336,164,82,98,24106,2362388,72,-1496664,1823688
337,209,104,120,24195,2903400,89,-1780000,2309995
338,230,115,131,24284,3181204,97,-1861915,2575932
339,178,89,105,24372,2559060,78,-1432938,2116374
340,161,80,96,24459,2348064,72,-1262160,1993176
341,160,80,96,24546,2356416,72,-1200456,2030976
342,114,57,73,24633,1798209,55,-869000,1578830
343,71,36,52,24720,1285440,39,-581568,1137903
344,119,60,76,24806,1885256,58,-812580,1718018
345,167,84,100,24892,2489200,76,-995144,2282812
346,168,84,100,24978,2497800,76,-924692,2312224
347,194,97,113,25064,2832232,86,-965608,2647338
348,235,118,134,25148,3369832,103,-1058634,3204639
349,235,118,134,25234,3381356,103,-959857,3235642
350,222,111,127,25318,3215386,98,-818398,3105130
351,240,120,136,25402,3454672,105,-774375,3352230
352,238,119,135,25486,3440610,105,-671265,3374385
353,247,124,140,25569,3579660,109,-589036,3522662
354,290,145,161,25652,4129972,126,-555660,4091094
355,291,146,162,25735,4169070,127,-433324,4138803
356,300,150,166,25818,4285788,131,-315710,4280818
357,315,158,174,25900,4506600,138,-194166,4517706
358,289,144,160,25981,4156960,127,-51054,4161155
359,260,130,146,26062,3805052,116,69948,3800276
360,250,125,141,26143,3686163,112,180096,3665536
361,272,136,152,26224,3986048,122,318542,3984886
362,290,145,161,26304,4234944,129,465948,4201143
363,307,154,170,26384,4485280,137,631433,4444417
364,341,170,186,26463,4922118,150,840300,4842750
365,349,174,190,26542,5042980,154,1014860,4943092
366,350,175,191,26621,5084611,155,1173505,4941400
367,392,196,212,26699,5660188,173,1478285,5472509
368,402,201,217,26777,5810609,177,1683624,5550012
369,361,180,196,26854,5263384,161,1685509,4999050
370,348,174,190,26932,5117080,156,1781052,4791384
371,353,176,192,27008,5185536,158,1951774,4795142
372,361,180,196,27085,5308660,162,2151198,4852872
373,385,192,208,27160,5649280,172,2440852,5079848
374,378,189,205,27236,5583380,170,2565300,4944450
375,339,170,186,27312,5080032,155,2476280,4434395
376,310,155,171,27386,4683006,143,2408978,4019015
377,352,176,192,27460,5272320,161,2849700,4439575
378,371,186,202,27534,5561868,170,3151290,4593230
379,381,190,206,27608,5687248,174,3368118,4600212
380,425,212,228,27680,6311040,193,3890687,4985576
381,425,212,228,27753,6327684,193,4041806,4863793
382,372,186,202,27826,5620852,172,3733260,4222084
383,388,194,210,27897,5858370,179,4018192,4272730
384,354,177,193,27968,5397824,165,3823050,3823050
385,315,158,174,28039,4878786,149,3556630,3344752
386,331,166,182,28110,5116020,156,3829332,3385980
387,319,160,176,28180,4959680,151,3805351,3162242
388,308,154,170,28249,4802330,147,3797304,2963373
389,283,142,158,28318,4474244,137,3622006,2651909
390,250,125,141,28387,4002567,122,3296318,2261514
391,217,108,124,28455,3528420,108,2978100,1911600
392,246,123,139,28523,3964697,121,3400705,2038366
393,260,130,146,28590,4174140,127,3633343,2028952
394,297,148,164,28657,4699748,143,4159155,2157870
395,291,146,162,28724,4653288,142,4193828,2015122
396,329,164,180,28789,5182020,158,4733048,2098082
397,396,198,214,28854,6174756,188,5705612,2322364
398,380,190,206,28920,5957520,182,5589948,2077894
399,362,181,197,28984,5709848,174,5402700,1821606
400,379,190,206,29048,5983888,183,5738148,1740696
401,346,173,189,29112,5502168,168,5314344,1435560
402,308,154,170,29174,4959580,151,4813880,1143221
403,278,139,155,29238,4531890,138,4429524,909420
404,185,92,108,29300,3164400,97,3131645,543394
405,162,81,97,29361,2848017,87,2822367,400983
406,182,91,107,29422,3148154,96,3126432,346752
407,146,73,89,29482,2623898,80,2613040,208880
408,117,58,74,29543,2186182,67,2192776,107736
409,83,42,58,29602,1716916,52,1703572,31356
410,56,28,44,29662,1305128,40,1310600,-16080
411,63,32,48,29720,1426560,44,1440428,-61908
412,38,19,35,29778,1042230,32,1045696,-77120
413,2,1,17,29836,507212,15,488835,-51180
414,-24,-12,4,29893,119572,4,129876,-17640
415,-30,-15,1,29950,29950,1,32318,-5404
416,17,8,24,30006,720144,22,707014,-140646
417,-7,-4,12,30062,360744,11,351186,-81125
418,-5,-2,14,30116,421624,13,411905,-108563
419,47,24,40,30171,1206840,37,1162318,-344803
420,80,40,56,30225,1692600,52,1617876,-534456
421,73,36,52,30278,1574456,48,1477584,-538944
422,59,30,46,30332,1395272,43,1308232,-523181
423,38,19,35,30384,1063440,32,961184,-419008
424,6,3,19,30436,578284,18,533178,-252180
425,-13,-6,10,30488,304880,9,262593,-134208
426,5,2,18,30538,549684,17,488002,-268600
427,-36,-18,-2,30589,-61178,-2,-56416,33346
428,-79,-40,-24,30638,-735312,-22,-609026,385660
429,-106,-53,-37,30688,-1135456,-35,-949655,642985
430,-110,-55,-39,30736,-1198704,-37,-982572,710215
431,-80,-40,-24,30785,-738840,-23,-596965,460000
432,-75,-38,-22,30832,-678304,-21,-531909,436527
433,-131,-66,-50,30880,-1544000,-47,-1159960,1013038
434,-175,-88,-72,30926,-2226672,-68,-1632476,1516468
435,-197,-98,-82,30972,-2539704,-78,-1818258,1796106
436,-223,-112,-96,31018,-2977728,-91,-2056054,2159521
437,-240,-120,-104,31062,-3230448,-99,-2163744,2416887
438,-241,-120,-104,31107,-3235128,-99,-2088504,2482128
439,-270,-135,-119,31150,-3706850,-113,-2295821,2905004
440,-311,-156,-140,31194,-4367160,-133,-2596027,3500427
441,-323,-162,-146,31236,-4560456,-139,-2599717,3739795
442,-303,-152,-136,31279,-4253944,-130,-2322970,3570580
443,-296,-148,-132,31320,-4134240,-126,-2144268,3528126
444,-292,-146,-130,31362,-4077060,-124,-2002724,3535240
445,-290,-145,-129,31402,-4050858,-124,-1893356,3595008
446,-321,-160,-144,31442,-4527648,-138,-1983336,4063686
447,-371,-186,-170,31481,-5351770,-163,-2194306,4869462
448,-394,-197,-181,31520,-5705120,-174,-2181786,5267502
449,-414,-207,-191,31558,-6027578,-184,-2135320,5638312
450,-409,-204,-188,31596,-5940048,-181,-1929279,5608285
451,-376,-188,-172,31632,-5440704,-166,-1610864,5195302
452,-318,-159,-143,31669,-4528667,-138,-1205982,4358040
453,-273,-136,-120,31705,-3804600,-116,-900972,3692628
454,-310,-155,-139,31740,-4411860,-135,-916110,4327695
455,-326,-163,-147,31775,-4670925,-143,-829400,4611750
456,-347,-174,-158,31810,-5025980,-153,-735624,4959036
457,-398,-199,-183,31843,-5827269,-178,-678358,5793010
458,-377,-188,-172,31876,-5482672,-167,-469437,5451882
459,-348,-174,-158,31908,-5041464,-154,-278586,5038418
460,-360,-180,-164,31940,-5238160,-160,-128640,5241120
461,-357,-178,-162,31972,-5179464,-158,31758,5177028
462,-352,-176,-160,32002,-5120320,-156,188136,5108220
463,-356,-178,-162,32032,-5189184,-158,349180,5165336
464,-372,-186,-170,32062,-5450540,-166,533192,5413094
465,-375,-188,-172,32090,-5519480,-168,707280,5459160
466,-345,-172,-156,32118,-5010408,-153,796365,4949703
467,-353,-176,-160,32146,-5143360,-157,972615,5051632
468,-395,-198,-182,32174,-5855668,-179,1285041,5722809
469,-360,-180,-164,32200,-5280800,-161,1313277,5109496
470,-349,-174,-158,32226,-5091708,-155,1414530,4877850
471,-339,-170,-154,32252,-4966808,-152,1533224,4738752
472,-321,-160,-144,32276,-4647744,-142,1567538,4380984
473,-331,-166,-150,32300,-4845000,-148,1773040,4513704
474,-316,-158,-142,32324,-4590008,-140,1807400,4216380
475,-283,-142,-126,32346,-4075596,-124,1714672,3683544
476,-247,-124,-108,32369,-3495852,-107,1576324,3131676
477,-255,-128,-112,32390,-3627680,-111,1734153,3197133
478,-240,-120,-104,32412,-3370848,-103,1699397,2915930
479,-196,-98,-82,32432,-2659424,-81,1406160,2250990
480,-186,-93,-77,32452,-2498804,-76,1383504,2070620
481,-167,-84,-68,32472,-2208096,-67,1275144,1787158
482,-173,-86,-70,32490,-2274300,-69,1369029,1799313
483,-194,-97,-81,32508,-2633148,-80,1650480,2036480
484,-229,-114,-98,32526,-3187548,-97,2076091,2406667
485,-305,-152,-136,32542,-4425712,-135,2990790,3259305
486,-355,-178,-162,32559,-5274558,-161,3684324,3775772
487,-365,-182,-166,32574,-5407284,-165,3892680,3751935
488,-350,-175,-159,32590,-5181810,-158,3836082,3476790
489,-335,-168,-152,32604,-4955808,-151,3766242,3208750
490,-321,-160,-144,32618,-4696992,-143,3658226,2927925
491,-292,-146,-130,32631,-4242030,-129,3379542,2538720
492,-241,-120,-104,32644,-3394976,-104,2786160,1962272
493,-194,-97,-81,32656,-2645136,-81,2215836,1460997
494,-180,-90,-74,32667,-2417358,-74,2064304,1271986
495,-142,-71,-55,32678,-1797290,-55,1562605,897875
496,-105,-52,-36,32688,-1176768,-36,1040328,556056
497,-102,-51,-35,32698,-1144430,-35,1027530,509355
498,-100,-50,-34,32706,-1112004,-34,1012894,463930
499,-56,-28,-12,32715,-392580,-12,362340,152700
500,-18,-9,7,32722,229054,7,-213997,-82551
501,-37,-18,-2,32730,-65460,-2,61838,21698
502,-74,-37,-21,32736,-687456,-21,655977,207816
503,-88,-44,-28,32742,-916776,-28,882728,250124
504,-101,-50,-34,32748,-1113432,-34,1080690,270708
505,-151,-76,-60,32752,-1965120,-60,1920840,418980
506,-169,-84,-68,32756,-2227408,-68,2190484,407864
507,-212,-106,-90,32760,-2948400,-90,2914380,450630
508,-271,-136,-120,32762,-3931440,-120,3902520,481320
509,-284,-142,-126,32764,-4128264,-126,4111128,379512
510,-251,-126,-110,32766,-3604260,-110,3597550,220990
511,-214,-107,-91,32766,-2981706,-91,2980432,91455
512,-210,-105,-89,32767,-2916263,-89,2916263,0
513,-193,-96,-80,32766,-2621280,-80,2620160,-80400
514,-163,-82,-66,32766,-2162556,-66,2158530,-132594
515,-170,-85,-69,32764,-2260716,-69,2251332,-207828
516,-123,-62,-46,32762,-1507052,-46,1495966,-184506
517,-63,-32,-16,32760,-524160,-16,518112,-80112
518,-72,-36,-20,32756,-655120,-20,644260,-119960
519,-83,-42,-26,32752,-851552,-26,832364,-181558
520,-75,-38,-22,32748,-720456,-22,699270,-175164
521,-73,-36,-20,32742,-654840,-20,630520,-178660
