sample,raw_pcm16,shifted_rne1,centered,hann_q15,hann_product,windowed_rne15,selected_real_product,selected_imag_product
0,-496,-248,-232,0,0,0,0,0
1,-479,-240,-224,0,0,0,0,0
2,-467,-234,-218,1,-218,0,0,0
3,-462,-231,-215,3,-645,0,0,0
4,-478,-239,-223,5,-1115,0,0,0
5,-439,-220,-204,8,-1632,0,0,0
6,-422,-211,-195,11,-2145,0,0,0
7,-429,-214,-198,15,-2970,0,0,0
8,-443,-222,-206,20,-4120,0,0,0
9,-452,-226,-210,25,-5250,0,0,0
10,-435,-218,-202,31,-6262,0,0,0
11,-395,-198,-182,38,-6916,0,0,0
12,-380,-190,-174,44,-7656,0,0,0
13,-354,-177,-161,52,-8372,0,0,0
14,-357,-178,-162,60,-9720,0,0,0
15,-373,-186,-170,70,-11900,0,0,0
16,-361,-180,-164,79,-12956,0,0,0
17,-320,-160,-144,89,-12816,0,0,0
18,-303,-152,-136,100,-13600,0,0,0
19,-313,-156,-140,111,-15540,0,0,0
20,-296,-148,-132,123,-16236,0,0,0
21,-310,-155,-139,136,-18904,-1,-26198,19680
22,-358,-179,-163,149,-24287,-1,-25582,20475
23,-388,-194,-178,163,-29014,-1,-24942,21250
24,-384,-192,-176,178,-31328,-1,-24279,22005
25,-374,-187,-171,192,-32832,-1,-23592,22739
26,-388,-194,-178,208,-37024,-1,-22884,23452
27,-326,-163,-147,224,-32928,-1,-22154,24143
28,-267,-134,-118,241,-28438,-1,-21403,24811
29,-284,-142,-126,258,-32508,-1,-20631,25456
30,-284,-142,-126,277,-34902,-1,-19841,26077
31,-301,-150,-134,296,-39664,-1,-19032,26674
32,-304,-152,-136,315,-42840,-1,-18204,27245
33,-286,-143,-127,334,-42418,-1,-17360,27790
34,-295,-148,-132,355,-46860,-1,-16499,28310
35,-322,-161,-145,376,-54520,-2,-31246,57606
36,-336,-168,-152,398,-60496,-2,-29464,58536
37,-348,-174,-158,420,-66360,-2,-27656,59412
38,-349,-174,-158,444,-70152,-2,-25820,60234
39,-368,-184,-168,467,-78456,-2,-23960,60996
40,-366,-183,-167,491,-81997,-3,-33117,92556
41,-389,-194,-178,516,-91848,-3,-30261,93528
42,-397,-198,-182,541,-98462,-3,-27378,94410
43,-367,-184,-168,567,-95256,-3,-24471,95208
44,-347,-174,-158,594,-93852,-3,-21537,95913
45,-335,-168,-152,620,-94240,-3,-18585,96528
46,-282,-141,-125,648,-81000,-2,-10410,64702
47,-227,-114,-98,676,-66248,-2,-8420,64990
48,-209,-104,-88,706,-62128,-2,-6424,65218
49,-185,-92,-76,735,-55860,-2,-4420,65384
50,-214,-107,-91,765,-69615,-2,-2412,65490
51,-212,-106,-90,796,-71640,-2,-402,65532
52,-200,-100,-84,827,-69468,-2,1608,65514
53,-205,-102,-86,858,-73788,-2,3618,65434
54,-185,-92,-76,891,-67716,-2,5622,65292
55,-187,-94,-78,924,-72072,-2,7622,65090
56,-201,-100,-84,958,-80472,-2,9616,64824
57,-194,-97,-81,992,-80352,-2,11600,64500
58,-151,-76,-60,1026,-61560,-2,13572,64114
59,-94,-47,-31,1062,-32922,-1,7767,31833
60,-73,-36,-20,1098,-21960,-1,8739,31580
61,-81,-40,-24,1134,-27216,-1,9704,31297
62,-100,-50,-34,1172,-39848,-1,10659,30985
63,-111,-56,-40,1209,-48360,-1,11605,30643
64,-119,-60,-44,1247,-54868,-2,25078,60546
65,-75,-38,-22,1286,-28292,-1,13462,29874
66,-93,-46,-30,1325,-39750,-1,14372,29447
67,-83,-42,-26,1365,-35490,-1,15269,28992
68,-22,-11,5,1406,7030,0,0,0
69,-29,-14,2,1446,2892,0,0,0
70,-37,-18,-2,1488,-2976,0,0,0
71,-42,-21,-5,1530,-7650,0,0,0
72,-31,-16,0,1573,0,0,0,0
73,-5,-2,14,1616,22624,1,-20317,-25708
74,17,8,24,1660,39840,1,-21096,-25072
75,7,4,20,1704,34080,1,-21856,-24413
76,23,12,28,1750,49000,1,-22594,-23731
77,45,22,38,1795,68210,2,-46622,-46054
78,41,20,36,1841,66276,2,-48014,-44602
79,57,28,44,1888,83072,3,-74040,-64662
80,99,50,66,1934,127644,4,-101316,-83148
81,106,53,69,1982,136758,4,-103820,-80000
82,80,40,56,2030,113680,3,-79668,-57585
83,43,22,38,2079,79002,2,-54266,-36742
84,24,12,28,2128,59584,2,-55366,-35060
85,47,24,40,2178,87120,3,-84624,-50019
86,88,44,60,2228,133680,4,-114824,-63200
87,140,70,86,2280,196080,6,-175062,-89472
88,173,86,102,2331,237762,7,-207347,-98070
89,183,92,108,2383,257364,8,-240296,-104752
90,189,94,110,2436,267960,8,-243392,-97336
91,152,76,92,2488,228896,7,-215481,-78596
92,129,64,80,2542,203360,6,-186678,-61668
93,159,80,96,2596,249216,8,-251312,-74552
94,173,86,102,2650,270300,8,-253480,-66808
95,112,56,72,2706,194832,6,-191556,-44250
96,79,40,56,2761,154616,5,-160685,-31965
97,98,49,65,2817,183105,6,-193908,-32424
98,45,22,38,2874,109212,3,-97407,-13230
99,-32,-16,0,2931,0,0,0,0
100,-47,-24,-8,2988,-23904,-1,32678,2410
101,-81,-40,-24,3046,-73104,-2,65474,2814
102,-87,-44,-28,3106,-86968,-3,98295,1206
103,-22,-11,5,3164,15820,0,0,0
104,16,8,24,3224,77376,2,-65456,3216
105,-27,-14,2,3284,6568,0,0,0
106,-84,-42,-26,3345,-86970,-3,97701,-10836
107,-96,-48,-32,3406,-108992,-3,97323,-13827
108,-29,-14,2,3468,6936,0,0,0
109,57,28,44,3530,155320,5,-160490,32950
110,108,54,70,3592,251440,8,-255040,60568
111,132,66,82,3656,299792,9,-284697,76905
112,128,64,80,3719,297520,9,-282204,85608
113,120,60,76,3783,287508,9,-279450,94221
114,144,72,88,3848,338624,10,-307140,114170
115,128,64,80,3912,312960,10,-303490,123530
116,117,58,74,3978,294372,9,-269604,119511
117,172,86,102,4044,412488,13,-383942,184483
118,205,102,118,4110,484980,15,-436275,226350
119,195,98,114,4177,476178,15,-429135,239640
120,201,100,116,4244,492304,15,-421575,252690
121,236,118,134,4312,577808,18,-496350,318600
122,233,116,132,4380,578160,18,-486342,333666
123,221,110,126,4448,560448,17,-449446,329069
124,205,102,118,4518,533124,16,-413312,322544
125,216,108,124,4588,568912,17,-428417,356014
126,267,134,150,4658,698700,21,-515487,455805
127,304,152,168,4728,794304,24,-572880,538752
