k,frequency_hz,first_window_real,first_window_imag,first_window_power,power_sum_156,log_q12,mean_q12,gain_q24,normalization_product,feature_int8,weight_int8,product,score_after_bin
29,453.125,-16913,-180877,128916167,133601097836,23237,24702,121994,-178721210,-11,-55,605,6762
30,468.75,86849,145957,112680448,243333739116,26780,24256,111766,282097384,17,-68,-1156,5606
31,484.375,-89835,162853,135122761,324893975031,28489,22380,126034,769941706,46,-28,-1288,4318
32,500.0,-52848,-378888,571675889,127521023882,22964,20983,102276,202608756,12,-40,-480,3838
33,515.625,175062,327296,538161623,87892707008,20762,20064,93172,65034056,4,-57,-228,3610
34,531.25,-149425,-272748,377809774,78357245160,20083,20262,93117,-16667943,-1,-101,101,3711
35,546.875,110558,186703,183910475,92659122161,21074,21476,77639,-31210878,-2,-4,8,3719
36,562.5,-256259,-6982,256708685,142859220193,23633,20630,86993,261239979,16,16,256,3975
37,578.125,276960,-213167,477136764,481316744641,30813,20055,86264,928028112,55,-21,-1155,2820
38,593.75,-10232,339693,451156360,365629111673,29189,19796,80873,759640089,45,-11,-495,2325
39,609.375,-61090,-348838,489921634,113303564298,22265,19219,81495,248233770,15,5,75,2400
40,625.0,-12474,78167,24475315,70481588846,19459,17839,77621,125746020,7,36,252,2652
41,640.625,225394,158878,297049508,64944520397,18976,17248,93701,161915328,10,28,280,2932
42,656.25,-388593,-38779,595735666,73856554229,19734,17621,95283,201332979,12,-9,-108,2824
43,671.875,197436,61883,167228437,68132798268,19259,18389,87367,76009290,5,10,50,2874
44,687.5,-185987,-229745,341304411,55093572239,18002,18311,76822,-23737998,-1,49,-49,2825
45,703.125,313315,192607,528374007,62893963916,18786,18043,75256,55915208,3,27,81,2906
46,718.75,-173116,73397,138110426,55656313928,18063,16877,86379,102445494,6,-4,-24,2882
47,734.375,62871,-200033,171742046,59208069885,18429,16699,90344,156295120,9,-46,-414,2468
48,750.0,-106893,55706,56754968,55881392052,18088,16551,83776,128763712,8,-3,-24,2444
49,765.625,113790,-80412,75836929,61176484639,18623,16098,70027,176818175,11,18,198,2642
50,781.25,-108328,21695,47678237,81705780063,20331,15994,68565,297366405,18,16,288,2930
51,796.875,45343,195892,157928372,129799745836,23069,16310,67096,453501864,27,19,513,3443
52,812.5,25026,-180747,130061635,180524720842,25018,16674,61268,511220192,30,14,420,3863
53,828.125,-46547,246943,246669799,136253481064,23355,16019,64170,470751120,28,11,308,4171
54,843.75,21625,-399926,626595493,78900328285,20124,15358,74297,354099502,21,24,504,4675
55,859.375,-14584,324513,412192892,34046629636,15160,15313,79248,-12124944,-1,-4,4,4679
56,875.0,-16233,-244950,235406300,21178645302,12354,15235,82885,-238791685,-14,-22,308,4987
57,890.625,170367,215524,294826208,31913931322,14778,15982,73613,-88630052,-5,19,-95,4892
58,906.25,-206494,-60053,180648964,32221258205,14834,15872,63632,-66050016,-4,15,-60,4832
59,921.875,115377,-86905,81501294,22888379182,12813,14823,61973,-124565730,-7,25,-175,4657
60,937.5,-68464,47228,27022669,19357858964,11820,14740,62354,-182073680,-11,17,-187,4470
61,953.125,-23200,61430,16843300,18015601067,11395,14471,64000,-196864000,-12,13,-156,4314
62,968.75,85761,-178155,152711536,21589796341,12465,14270,66128,-119361040,-7,19,-133,4181
63,984.375,-3805,270895,286713199,32706401332,14922,14352,61700,35169000,2,5,10,4191
64,1000.0,15074,-97955,38368779,37107750441,15665,14579,57708,62670888,4,-8,-32,4159
65,1015.625,-49945,-142397,88950815,26740047543,13730,14179,51864,-23286936,-1,3,-3,4156
66,1031.25,-37703,76247,28262192,22251560655,12646,13983,55195,-73795715,-4,23,-92,4064
67,1046.875,50946,74678,31923041,19618049094,11902,13829,69821,-134545067,-8,33,-264,3800
68,1062.5,53006,-21490,12779126,23303711257,12921,13377,73283,-33417048,-2,16,-32,3768
69,1078.125,-64501,14348,17055641,27802418341,13963,13811,65005,9880760,1,-15,-15,3753
70,1093.75,-1122,-129559,65573412,23759223037,13034,14011,59109,-57749493,-3,7,-21,3732
71,1109.375,57242,70176,32036397,22620366783,12743,13763,52183,-53226660,-3,29,-87,3645
72,1125.0,-55550,120846,69099837,27520716807,13902,13705,44988,8862636,1,30,30,3675
73,1140.625,-10874,-217669,185539209,23102772896,12869,13491,50009,-31105598,-2,31,-62,3613
74,1156.25,35586,152241,95483146,16943684409,11035,13289,77413,-174488902,-10,29,-290,3323
75,1171.875,-55429,-11748,12540584,14758445433,10220,14403,103236,-431836188,-26,-5,130,3453
76,1187.5,26197,-94523,37581564,13872115797,9853,15769,81135,-479994660,-29,-9,261,3714
77,1203.125,48852,95933,45272103,12288216307,9135,14203,86785,-439826380,-26,-28,728,4442
78,1218.75,-41940,27948,9922087,13769248222,9810,12640,89271,-252636930,-15,-47,705,5147
79,1234.375,36068,-107243,50007663,13331655712,9619,11887,96422,-218685096,-13,-22,286,5433
80,1250.0,-31149,-2429,3813126,12669705633,9318,11902,84040,-217159360,-13,-7,91,5524
81,1265.625,-33631,55214,16326680,17469749569,11216,11349,84297,-11211501,-1,-12,12,5536
82,1281.25,-32090,46158,12345035,48307150054,17226,11266,81842,487778320,29,7,203,5739
83,1296.875,154576,-75340,115507248,32566173821,14898,11700,75106,240188988,14,8,112,5851
84,1312.5,-49214,3114,9498886,20012319853,12017,10506,77405,116958955,7,20,140,5991
85,1328.125,-72224,53313,31478837,12145124917,9066,10732,70464,-117393024,-7,21,-147,5844
86,1343.75,15995,-60498,15296281,11873084995,8934,11471,68383,-173487671,-10,17,-170,5674
87,1359.375,30780,125571,65294861,14411162223,10077,10878,72866,-58365666,-3,1,-3,5671
88,1375.0,-33518,-215028,185001942,11829577704,8913,10885,76466,-150790952,-9,-11,99,5770
89,1390.625,60138,141996,92888449,14177679436,9984,11242,81915,-103049070,-6,-22,132,5902
90,1406.25,-83295,39350,33150311,29212730847,14255,12020,93550,209084250,12,-17,-204,5698
91,1421.875,51004,-138989,85622461,29033643531,14218,10984,85162,275413908,16,-7,-112,5586
92,1437.5,12427,173314,117938175,17317124732,11165,10651,67416,34651824,2,-1,-2,5584
93,1453.125,-91083,-148036,118010821,12844452093,9400,10788,67939,-94299332,-6,1,-6,5578
94,1468.75,155303,557,94216141,12594798413,9283,9973,79392,-54780480,-3,18,-54,5524
95,1484.375,-90304,72565,52423795,10937594916,8447,10261,69524,-126116536,-8,26,-208,5316
96,1500.0,-24838,-26401,5132574,9268107109,7468,10285,65789,-185327613,-11,31,-341,4975
97,1515.625,52387,61404,25448629,11491914091,8739,9340,72201,-43392801,-3,28,-84,4891
98,1531.25,-17058,-142585,80552569,26696869287,13723,9124,65797,302600403,18,8,144,5035
99,1546.875,-74002,163437,125734176,36022309508,15491,8987,68411,444945144,27,12,324,5359
100,1562.5,76537,-98641,60890466,37315286874,15702,8915,74883,508230921,30,14,420,5779
101,1578.125,4531,-16491,1142512,39670487417,16063,9041,76645,538201190,32,7,224,6003
102,1593.75,4836,35157,4919537,15067584785,10343,9386,77207,73887099,4,-7,-28,5975
103,1609.375,-48761,53954,20658864,8442680783,6918,9407,79657,-198266273,-12,-15,180,6155
104,1625.0,62869,-90264,47266019,8477076905,6945,9836,83906,-242572246,-14,-9,126,6281
105,1640.625,-28618,46972,11817807,8986657403,7288,10370,89756,-276627992,-16,-39,624,6905
106,1656.25,-15010,14147,1661866,7165911643,5950,9201,83317,-270863567,-16,-32,512,7417
107,1671.875,32256,-50087,13863895,6024757808,4925,8642,79929,-297096093,-18,-22,396,7813
108,1687.5,3236,80799,25542774,9540533963,7642,8787,74742,-85579590,-5,-3,15,7828
109,1703.125,-48198,-93822,43459433,10536548352,8230,8571,71473,-24372293,-1,6,-6,7822
110,1718.75,7959,56355,12653249,10466131990,8187,8373,72520,-13488720,-1,-19,19,7841
111,1734.375,28041,8984,3386758,8556021952,6997,8223,82148,-100713448,-6,-38,228,8069
112,1750.0,12536,-1255,620025,7641066485,6329,8106,86128,-153049456,-9,-29,261,8330
113,1765.625,-31185,-62741,19175536,16659995863,10937,7854,79340,244605220,15,-7,-105,8225
114,1781.25,-71565,65410,36718818,36251165715,15530,8284,71058,514886268,31,7,217,8442
115,1796.875,118149,-3640,54579827,46191233395,16961,9123,69845,547445110,33,10,330,8772
116,1812.5,-44635,-74532,29481649,61308152630,18636,8752,68711,679139524,40,7,280,9052
117,1828.125,2274,35133,4841792,53049641196,17782,8495,70982,659209834,39,4,156,9208
118,1843.75,7914,73118,21128411,34483556462,15232,8307,78811,545766175,33,9,297,9505
119,1859.375,-41561,-101950,47348122,10461100999,8187,8154,81934,2703822,0,21,0,9505
120,1875.0,74781,57795,34892422,5816658084,4716,7811,74543,-230710585,-14,0,0,9505
121,1890.625,-3485,27677,3039694,5504388884,4392,7638,68965,-223860390,-13,-7,91,9596
122,1906.25,-30324,-70118,22797183,5488010189,4373,7765,71311,-241886912,-14,1,-14,9582
123,1921.875,-67481,-8007,18038271,4739711764,3509,7473,72988,-289324432,-17,8,-136,9446
124,1937.5,113871,39184,56648400,5608230351,4503,7045,71037,-180576054,-11,6,-66,9380
125,1953.125,-64993,-3484,16547767,8406162988,6895,7121,65896,-14892496,-1,22,-22,9358
126,1968.75,-1000,35452,4913454,6748571704,5594,7275,66220,-111315820,-7,29,-203,9155
127,1984.375,48585,-13537,9936534,5039213177,3869,7444,67385,-240901375,-14,15,-210,8945
128,2000.0,-48454,-53030,20156137,4085653445,2631,7255,68613,-317266512,-19,0,0,8945
129,2015.625,-16577,37830,6663695,5162197939,4010,6807,66450,-185860650,-11,0,0,8945
130,2031.25,28376,30477,6773613,6038646045,4938,7029,62797,-131308527,-8,-3,24,8969
131,2046.875,65137,-44759,24399206,6240870464,5131,6840,62737,-107217533,-6,-6,36,9005
132,2062.5,-42765,-45195,15122786,15990108401,10694,6860,69680,267153120,16,-12,-192,8813
133,2078.125,-80053,87012,54607699,19473221577,11856,7175,72016,337106896,20,-18,-360,8453
134,2093.75,77503,-46144,31781187,7517548490,6234,7042,69594,-56231952,-3,-13,39,8492
135,2109.375,-2787,17299,1199308,5104565879,3947,6695,67006,-184132488,-11,-6,66,8558
136,2125.0,-37438,-41391,12167261,4211760669,2810,6410,66269,-238568400,-14,-2,28,8586
137,2140.625,58066,83082,40133903,3674252844,2005,6307,66580,-286427160,-17,-5,85,8671
138,2156.25,-11452,-31673,4430966,3995295083,2499,6330,65258,-250003398,-15,7,-105,8566
139,2171.875,-75051,-31611,25905890,3745700802,2118,6480,62827,-274051374,-16,14,-224,8342
140,2187.5,78188,40939,30427207,3318780324,1401,6405,65124,-325880496,-19,10,-190,8152
141,2203.125,-6543,-31361,4009075,3127397306,1051,6229,64338,-333142164,-20,4,-80,8072
142,2218.75,-30715,2885,3717713,3162745783,1118,6265,60486,-311321442,-19,-12,228,8300
143,2234.375,-6070,-27979,3201833,3687602678,2025,6301,59738,-255439688,-15,-14,210,8510
144,2250.0,14631,47136,9515112,3416051839,1571,6104,59114,-267963762,-16,-11,176,8686
145,2265.625,23207,-25003,4545761,3047448628,899,5706,59810,-287506670,-17,-24,408,9094
146,2281.25,-12235,-5154,688511,3275015077,1322,5301,64928,-258348512,-15,-21,315,9409
147,2296.875,-4796,35803,5097095,3741715470,2111,5138,68973,-208781271,-12,-2,24,9433
148,2312.5,-31294,-13066,4492323,4576628354,3302,5052,72662,-127158500,-8,7,-56,9377
149,2328.125,46038,6683,8453750,8620996522,7040,4776,70492,159593888,10,-4,-40,9337
150,2343.75,-41488,-22131,8636857,9635854782,7698,4648,68060,207583000,12,-9,-108,9229
151,2359.375,51724,3035,10486654,6584790471,5449,4994,67347,30642885,2,-4,-8,9221
152,2375.0,-36483,43592,12622155,7185721712,5967,5262,66191,46664655,3,7,21,9242
153,2390.625,3834,-41540,6797934,5456489220,4337,4948,67435,-41202785,-2,-7,14,9256
154,2406.25,16770,-1490,1107238,5011414768,3835,4329,68170,-33675980,-2,-12,24,9280
155,2421.875,-45784,-13747,8926385,3481002982,1682,4302,65088,-170530560,-10,-25,250,9530
156,2437.5,81150,63424,41437212,3086672778,971,4385,62996,-215068344,-13,-21,273,9803
157,2453.125,-77741,-60469,37891262,4975715750,3795,4246,64611,-29139561,-2,-32,64,9867
158,2468.75,11886,18505,1889500,5074330534,3908,4482,67978,-39019372,-2,-25,50,9917
159,2484.375,30092,1487,3545858,2737818954,264,4279,68955,-276854325,-17,-19,323,10240
160,2500.0,5338,37871,5713699,2620937365,5,4233,67274,-284434472,-17,-14,238,10478
161,2515.625,-20725,-54460,13263349,2795710473,389,4258,67112,-259656328,-15,-1,15,10493
162,2531.25,26605,-38092,8432916,3196527235,1181,4089,66666,-193864728,-12,2,-24,10469
163,2546.875,-54312,90945,43831197,3233826975,1250,3877,65510,-172094770,-10,5,-50,10419
164,2562.5,10362,-39803,6608007,3247817936,1273,3840,64691,-166061797,-10,12,-120,10299
165,2578.125,16445,21499,2861895,3129262333,1055,4057,65350,-196180700,-12,7,-84,10215
166,2593.75,29212,-24081,5598576,4129382115,2695,4187,66907,-99825244,-6,7,-42,10173
167,2609.375,-22289,6134,2087600,4016251615,2530,3929,65036,-90985364,-5,0,0,10173
168,2625.0,-7754,-13175,912911,3208300906,1200,3540,63466,-148510440,-9,4,-36,10137
169,2640.625,-7693,27193,3119693,4129559460,2695,3382,64178,-44090286,-3,3,-9,10128
170,2656.25,24373,-20761,4004149,5667002195,4565,3582,65066,63959878,4,6,24,10152
171,2671.875,-11727,-18957,1940978,4291864936,2921,3633,63284,-45058208,-3,8,-24,10128
172,2687.5,-20057,29793,5038696,3486179143,1693,3844,64611,-138978261,-8,-2,16,10144
173,2703.125,18397,-7578,1546389,3386271831,1520,4196,66968,-179206368,-11,-5,55,10199
174,2718.75,26914,5175,2934156,3978786831,2474,4527,66285,-136083105,-8,8,-64,10135
175,2734.375,-46468,-28727,11658264,4741773751,3509,4846,66431,-88818247,-5,17,-85,10050
176,2750.0,44884,1000,7873334,3348651866,1453,4676,66509,-214358507,-13,16,-208,9842
177,2765.625,-46763,55968,20778106,2365095598,-603,4317,67859,-333866280,-20,3,-60,9782
178,2781.25,26264,-15479,3630458,2697147595,177,4185,72113,-289028904,-17,1,-17,9765
179,2796.875,-6220,-48775,9444098,2418313401,-468,4135,71377,-328548331,-20,2,-40,9725
180,2812.5,39049,44731,13772214,1851605422,-2048,4025,69506,-422109938,-25,-9,225,9950
181,2828.125,-40863,-22109,8432003,1900814947,-1892,3931,68136,-396755928,-24,-11,264,10214
182,2843.75,3395,-28,45027,2698980589,177,3659,66877,-232865714,-14,-6,84,10298
183,2859.375,-11490,-1649,526325,5692822627,4591,3481,67549,74979390,4,2,8,10306
184,2875.0,15279,14681,1753827,4059742221,2592,3507,67600,-61854000,-4,10,-40,10266
185,2890.625,13186,15368,1601742,2668215913,113,3318,63713,-204200165,-12,-4,48,10314
186,2906.25,-41000,-14868,7429912,2625620272,14,3157,62649,-196905807,-12,4,-48,10266
187,2921.875,48198,-25759,11666302,2875600846,555,3010,63683,-156341765,-9,13,-117,10149
188,2937.5,-37162,35302,10262678,2493737407,-286,2892,63892,-203048776,-12,0,0,10149
189,2953.125,22574,-20924,3700778,2733222125,255,3159,64937,-188577048,-11,-12,132,10281
190,2968.75,22023,594,1895958,2755952217,305,3150,62857,-178828165,-11,-11,121,10402
191,2984.375,-49659,9966,10020849,2211774484,-998,3006,62300,-249449200,-15,-11,165,10567
192,3000.0,15833,-566,980485,4418685399,3092,3231,62910,-8744490,-1,1,-1,10566
193,3015.625,-5396,-28290,3240004,9102544742,7365,3149,61591,259667656,15,5,75,10641
194,3031.25,16089,53242,12084244,6124908277,5023,2705,63328,146794304,9,5,45,10686
195,3046.875,4849,-40641,6543764,2755084221,300,2528,63476,-141424528,-8,9,-72,10614
196,3062.5,12663,22471,2598818,2807970164,411,2200,61043,-109205927,-7,7,-49,10565
197,3078.125,-42205,-14324,7759527,2094937374,-1318,1992,61567,-203786770,-12,5,-60,10505
198,3093.75,5508,9607,479033,2079311211,-1363,1888,61804,-200924804,-12,2,-24,10481
199,3109.375,9294,-5785,468143,2415855709,-478,1715,61109,-134012037,-8,3,-24,10457
200,3125.0,15168,163,898808,1933830596,-1789,1607,62400,-211910400,-13,-3,39,10496
201,3140.625,-922,3941,63990,1534540585,-3157,1752,63839,-313385651,-19,-14,266,10762
202,3156.25,-11264,-5196,601079,1543613452,-3120,1845,64541,-320446065,-19,-22,418,11180
203,3171.875,-33003,-2420,4277556,1657961845,-2698,1671,64107,-280083483,-17,-21,357,11537
204,3187.5,43977,-4632,7638406,1617831067,-2846,1862,66295,-312116860,-19,-12,228,11765
205,3203.125,-6045,7033,335957,1630194003,-2800,2103,67702,-331942906,-20,-9,180,11945
206,3218.75,8519,16905,1399814,1491471908,-3325,1988,66223,-351842799,-21,-5,105,12050
207,3234.375,-29380,-26444,6103397,1609556574,-2877,1754,66477,-307854987,-18,-4,72,12122
208,3250.0,20119,35921,6621455,1955519880,-1725,1776,68944,-241372944,-14,-7,98,12220
209,3265.625,4180,-6233,220011,2404026704,-504,1626,66454,-141547020,-8,-2,16,12236
210,3281.25,-30922,-36024,8804292,3611314405,1902,2531,58581,-36847449,-2,-14,28,12264
211,3296.875,27127,20359,4493606,3121458181,1039,2237,60201,-72120798,-4,-5,20,12284
212,3312.5,-382,-24373,2321051,2172050069,-1106,1178,63044,-143992496,-9,6,-54,12230
213,3328.125,-10248,37123,5793510,2641279565,52,709,62631,-41148567,-2,7,-14,12216
214,3343.75,-351,-1669,11362,1716187182,-2496,574,65086,-199814020,-12,4,-48,12168
215,3359.375,4280,-32365,4163327,2002812763,-1581,637,64119,-142215942,-8,9,-72,12096
216,3375.0,4149,25216,2551019,2396458422,-525,823,64388,-86795024,-5,-5,25,12121
217,3390.625,4057,-4965,160588,2200318122,-1026,850,62841,-117889716,-7,-10,70,12191
218,3406.25,-7929,14281,1042250,2622790347,9,771,61611,-46947582,-3,-10,30,12221
219,3421.875,6066,-15840,1123836,3588131227,1861,781,61509,66429720,4,-14,-56,12165
220,3437.5,-1251,-20271,1611244,3085124161,971,828,60295,8622185,1,-3,-3,12162
221,3453.125,-9030,33619,4733508,2616089825,-5,822,60191,-49777957,-3,-3,9,12171
222,3468.75,24483,-18115,3623322,2551912336,-153,720,61028,-53277444,-3,0,0,12171
223,3484.375,-19167,5350,1546861,1892785923,-1915,610,60020,-151550500,-9,5,-45,12126
224,3500.0,-2326,903,24319,1777557418,-2287,406,59906,-161326858,-10,11,-110,12016
225,3515.625,-19263,6122,1595867,1870611030,-1988,364,59723,-140468496,-8,18,-144,11872
226,3531.25,24285,-11226,2796032,1929155626,-1805,154,60955,-119410845,-7,24,-168,11704
227,3546.875,31850,-4545,4043279,1837107715,-2091,199,61580,-141018200,-8,2,-16,11688
228,3562.5,-47442,13139,9466315,1893759486,-1912,296,59472,-131314176,-8,-10,80,11768
229,3578.125,13772,-23363,2873038,1664385057,-2676,-57,60178,-157606182,-9,-9,81,11849
230,3593.75,-9941,23326,2511429,1917264555,-1841,100,60831,-118072971,-7,-8,56,11905
231,3609.375,19468,-22580,3472107,1704608952,-2536,243,59845,-166309255,-10,4,-40,11865
232,3625.0,607,30513,3638327,1893453134,-1915,265,60070,-130952600,-8,7,-56,11809
233,3640.625,-26702,-18654,4144408,1655091911,-2710,266,61612,-183357312,-11,2,-22,11787
234,3656.25,36315,11848,5699822,1493707033,-3316,307,62456,-226278088,-13,13,-169,11618
235,3671.875,-28224,-10781,3565719,1159631390,-4815,163,62282,-310039796,-18,14,-252,11366
236,3687.5,1383,-9893,389782,1251020048,-4362,99,62206,-277500966,-17,17,-289,11077
237,3703.125,7269,40134,6498345,1812560240,-2173,52,62482,-139022450,-8,26,-208,10869
238,3718.75,-9016,-56117,12618773,1631820395,-2793,-336,60980,-149827860,-9,24,-216,10653
239,3734.375,35811,58079,18185930,1455944747,-3468,-511,62426,-184593682,-11,-1,11,10664
240,3750.0,-48796,-41181,15925486,1456882887,-3463,-138,64648,-214954600,-13,-9,117,10781
241,3765.625,35666,3720,5023055,1660181062,-2691,89,66671,-185345380,-11,-21,231,11012
242,3781.25,-31568,23291,6011755,1745468551,-2396,-48,66275,-155613700,-9,-9,81,11093
243,3796.875,12385,-13281,1288177,1426666575,-3588,149,67824,-253458288,-15,-13,195,11288
244,3812.5,30125,9491,3896854,1245354166,-4392,116,70540,-317994320,-19,-11,209,11497
245,3828.125,-25399,-18112,3801382,1494760198,-3312,177,70723,-246752547,-15,-1,15,11512
246,3843.75,3013,-3290,77743,2032142990,-1495,270,69280,-122279200,-7,6,-42,11470
247,3859.375,-13173,19498,2162890,2488529392,-301,78,67476,-25573404,-2,6,-12,11458
248,3875.0,18039,-9242,1604766,1965791440,-1694,-197,64251,-96183747,-6,4,-24,11434
249,3890.625,-8260,4894,360074,1733633719,-2435,-589,62560,-115485760,-7,9,-63,11371
250,3906.25,15822,-17791,2214279,1888540503,-1928,-1008,61348,-56440160,-3,-1,3,11374
251,3921.875,-30546,35835,8660958,2595413222,-52,-1341,60830,78409870,5,-9,-45,11329
252,3937.5,14278,-19390,2264974,2225797213,-959,-1408,61020,27397980,2,-11,-22,11307
253,3953.125,-1664,-3532,59547,1866961239,-1998,-1407,63117,-37302147,-2,-10,20,11327
254,3968.75,5533,6219,270664,1910965360,-1860,-1363,64223,-31918831,-2,-11,22,11349
255,3984.375,3518,-6479,212319,1805548405,-2197,-1287,63807,-58064370,-3,-10,30,11379
256,4000.0,-4992,-1536,106560,928344419,-6127,-1211,63132,-310356912,-18,-10,180,11559
257,4015.625,-27804,-6007,3160728,887361277,-6393,-1526,62587,-304610929,-18,-11,198,11757
258,4031.25,47247,9827,9097066,1163680427,-4794,-1674,62249,-194216880,-12,-12,144,11901
259,4046.875,-14301,2348,820436,1330553750,-4002,-1629,62032,-147201936,-9,-12,108,12009
260,4062.5,-37189,-18811,6784670,1836289463,-2095,-1625,61037,-28687390,-2,-1,2,12011
261,4078.125,51593,22040,12295310,1225342379,-4487,-1623,60151,-172272464,-10,4,-40,11971
262,4093.75,-15606,4658,1036110,983278132,-5787,-1686,60759,-249172659,-15,-8,120,12091
263,4109.375,-10517,-12907,1082804,1295471694,-4158,-1893,62032,-140502480,-8,-5,40,12131
264,4125.0,7699,2259,251475,2456566938,-376,-1903,61579,94031133,6,-3,-18,12113
265,4140.625,-1267,413,6937,2867929754,538,-1791,62228,144929012,9,-11,-99,12014
266,4156.25,6371,10747,609717,2039715241,-1474,-1730,62492,15997952,1,-13,-13,12001
267,4171.875,-8479,-6373,439487,1285509266,-4206,-1844,61706,-145749572,-9,-12,108,12109
268,4187.5,-4905,-13214,776050,1500295865,-3292,-1838,61259,-89070586,-5,-11,55,12164
269,4203.125,18694,-1610,1375226,1260162392,-4323,-1646,63166,-169095382,-10,-13,130,12294
270,4218.75,-17938,31370,5100972,1059967215,-5343,-1915,62789,-215240692,-13,-12,156,12450
271,4234.375,15931,-27770,4003788,1251777817,-4362,-2148,61207,-135512298,-8,-3,24,12474
272,4250.0,-19500,14478,2304150,1795423323,-2228,-2213,61917,-928755,0,7,0,12474
273,4265.625,1671,-19500,1496259,1229921329,-4467,-2224,62681,-140593483,-8,12,-96,12378
274,4281.25,15171,15624,1852612,985846207,-5771,-2395,62122,-209723872,-13,15,-195,12183
275,4296.875,-13711,944,737823,1217216436,-4528,-2560,63125,-124230000,-7,9,-63,12120
276,4312.5,18750,-9082,1695489,1169463105,-4762,-2310,63016,-154515232,-9,18,-162,11958
277,4328.125,-18839,1939,1401045,1318577557,-4054,-2131,62279,-119762517,-7,20,-140,11818
278,4343.75,-679,2858,33708,1175651549,-4730,-2162,62238,-159827184,-10,-2,20,11838
279,4359.375,24549,320,2354515,1311470786,-4087,-2105,62230,-123339860,-7,-8,56,11894
280,4375.0,-29664,1009,3441293,1355346367,-3891,-1612,62286,-141949794,-8,12,-96,11798
281,4390.625,15328,-7753,1152565,987014797,-5765,-1580,63420,-265412700,-16,12,-192,11606
282,4406.25,-9195,3702,383800,1254729271,-4347,-1858,65721,-163579569,-10,-3,30,11636
283,4421.875,19001,-34,1410309,1369912097,-3828,-1576,66447,-149638644,-9,-14,126,11762
284,4437.5,-26998,-346,2847702,989300640,-5752,-1421,64821,-280739751,-17,2,-34,11728
285,4453.125,25083,12241,3042965,729923574,-7547,-1702,63138,-369041610,-22,1,-22,11706
286,4468.75,-26557,-12324,3348263,754370878,-7355,-1740,62534,-351128410,-21,3,-63,11643
287,4484.375,17291,6753,1346022,746660257,-7412,-1877,61680,-341398800,-20,4,-80,11563
288,4500.0,2068,-5563,137592,671809383,-8038,-2315,60085,-343866455,-20,-1,20,11583
289,4515.625,48,-16911,1117126,727119646,-7572,-2617,60226,-298419830,-18,10,-180,11403
290,4531.25,-14512,11955,1380938,1989720312,-1622,-2702,61003,65883240,4,12,48,11451
291,4546.875,14538,7356,1036969,2253434529,-887,-2810,60561,116458803,7,17,119,11570
292,4562.5,-3628,6076,195626,1059139537,-5346,-2727,59484,-155788596,-9,9,-81,11489
