k,frequency_hz,first_window_real,first_window_imag,first_window_power,power_sum_156,log_q12,mean_q12,gain_q24,normalization_product,feature_int8,weight_int8,product,score_after_bin
1,15.625,-858082,79561,2900916685,844781336208,34136,32983,132110,152322830,9,79,711,1152
2,31.25,75215,289805,350172790,920687739861,34643,33428,109302,132801930,8,-10,-80,1072
3,46.875,1121828,1384407,12402659388,3735335314595,42921,36637,78799,495172916,30,18,540,1612
4,62.5,-2780141,-3959145,91421926214,21042647542285,53133,45272,73238,575723918,34,45,1530,3142
5,78.125,1624762,2761950,40110231872,9115875909310,48193,41988,86850,538904250,32,91,2912,6054
6,93.75,-317561,-799865,2893082058,733571311496,33302,28782,103069,465871880,28,51,1428,7482
7,109.375,689912,557024,3071305876,562481290049,31730,28849,102033,293957073,18,15,270,7752
8,125.0,689145,-5299,1855269181,1505781129558,37552,32026,99812,551561112,33,-111,-3663,4089
9,140.625,-1544489,-237749,9538948665,984815601925,35043,33350,112045,189692185,11,-127,-1397,2692
10,156.25,314371,262655,655534276,443871804261,30333,30228,93833,9852465,1,-36,-36,2656
11,171.875,601293,-542766,2563078916,474472388426,30727,28628,88563,185893737,11,-37,-407,2249
12,187.5,-591965,239471,1592847348,282184657811,27657,28618,99667,-95779987,-6,-12,72,2321
13,203.125,47932,157301,105629224,411998331386,29891,29682,123999,25915791,2,76,152,2473
14,218.75,261963,53123,279088541,461867606872,30568,27756,94692,266273904,16,60,960,3433
15,234.375,340916,-355934,948877857,252756642938,27007,25134,112867,211399891,13,11,143,3576
16,250.0,-603193,425219,2127550755,227382539561,26382,24646,126617,219807112,13,-23,-299,3277
17,265.625,268935,-161214,384046828,221649133150,26230,25595,106616,67701160,4,-9,-36,3241
18,281.25,-8604,-182757,130758398,229174531786,26427,26296,88553,11600443,1,22,22,3263
19,296.875,193631,-141076,224200789,287322955426,27763,27833,101864,-7130480,0,24,0,3263
20,312.5,-532935,662206,2822408206,345591766555,28854,26516,123041,287669858,17,20,340,3603
21,328.125,124533,-647257,1697070672,395788539323,29656,25214,126702,562810284,34,33,1122,4725
22,343.75,408253,383735,1226261962,273299209207,27468,24196,127252,416368544,25,42,1050,5775
23,359.375,-620867,-53231,1516833481,147151311527,23809,22555,106523,133579842,8,-8,-64,5711
24,375.0,568177,-95676,1296792970,184859867096,25157,22152,107283,322385415,19,-22,-418,5293
25,390.625,-169989,-106775,157410784,203382474515,25722,23208,119975,301617150,18,14,252,5545
26,406.25,183552,-32570,135750553,236047541940,26601,24063,114626,290920788,17,24,408,5953
27,421.875,-250865,281967,556400927,209814883396,25906,24058,109642,202618416,12,17,204,6157
28,437.5,26800,-44398,10505556,158046814347,24230,24305,105811,-7935825,0,-10,0,6157
