name,features,context,dimension,model,auc,fpr,recall,alarm_fpr,alarm_recall,context_ms,earliest_3window_alarm_ms,weights_or_parameters,compression,score_multiplications,context_storage_bytes_if_int8,parameter_bytes_if_float32
sparse16-log-c1-centroid,16,1,16,centroid,0.47333333333333333,0.05,0.3,0.025,0.3,64,192,16,log1p,16,16,64
sparse16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.6416666666666666,0.05,0.13333333333333333,0.075,0.13333333333333333,64,192,32,log1p,32,16,128
sparse16-log-c1-ae,16,1,16,ae,0.6466666666666667,0.05,0.13333333333333333,0.075,0.13333333333333333,64,192,280,log1p,272,16,1120
sparse16-log-c4-centroid,16,4,64,centroid,0.47333333333333333,0.05,0.3,0.175,0.3,256,384,64,log1p,64,64,256
sparse16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.6433333333333333,0.05,0.13333333333333333,0.1,0.16666666666666666,256,384,128,log1p,128,64,512
sparse16-log-c4-ae,16,4,64,ae,0.5983333333333333,0.05,0.13333333333333333,0.15,0.16666666666666666,256,384,2128,log1p,2112,64,8512
sparse16-log-c8-centroid,16,8,128,centroid,0.4741666666666666,0.05,0.3,0.1,0.3,512,640,128,log1p,128,128,512
sparse16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.6483333333333334,0.05,0.13333333333333333,0.1,0.16666666666666666,512,640,256,log1p,256,128,1024
sparse16-log-c8-ae,16,8,128,ae,0.6216666666666667,0.05,0.13333333333333333,0.1,0.16666666666666666,512,640,4240,log1p,4224,128,16960
uniform16-log-c1-centroid,16,1,16,centroid,0.6883333333333332,0.05,0.43333333333333335,0.075,0.26666666666666666,64,192,16,log1p,16,16,64
uniform16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.6408333333333333,0.05,0.2,0.075,0.16666666666666666,64,192,32,log1p,32,16,128
uniform16-log-c1-ae,16,1,16,ae,0.6583333333333333,0.05,0.13333333333333333,0.05,0.16666666666666666,64,192,280,log1p,272,16,1120
uniform16-log-c4-centroid,16,4,64,centroid,0.6858333333333333,0.05,0.43333333333333335,0.15,0.43333333333333335,256,384,64,log1p,64,64,256
uniform16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.6391666666666667,0.05,0.2,0.15,0.16666666666666666,256,384,128,log1p,128,64,512
uniform16-log-c4-ae,16,4,64,ae,0.6466666666666666,0.05,0.16666666666666666,0.2,0.26666666666666666,256,384,2128,log1p,2112,64,8512
uniform16-log-c8-centroid,16,8,128,centroid,0.6883333333333334,0.05,0.43333333333333335,0.15,0.4,512,640,128,log1p,128,128,512
uniform16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.64,0.05,0.2,0.125,0.16666666666666666,512,640,256,log1p,256,128,1024
uniform16-log-c8-ae,16,8,128,ae,0.6808333333333333,0.05,0.16666666666666666,0.15,0.2,512,640,4240,log1p,4224,128,16960
uniform32-log-c1-centroid,32,1,32,centroid,0.6799999999999999,0.05,0.36666666666666664,0.05,0.3,64,192,32,log1p,32,32,128
uniform32-log-c1-diagonal_mahalanobis,32,1,32,diagonal_mahalanobis,0.6158333333333333,0.05,0.2,0.075,0.16666666666666666,64,192,64,log1p,64,32,256
uniform32-log-c1-ae,32,1,32,ae,0.6716666666666667,0.05,0.16666666666666666,0.075,0.2,64,192,552,log1p,544,32,2208
uniform32-log-c4-centroid,32,4,128,centroid,0.6766666666666666,0.05,0.36666666666666664,0.15,0.4,256,384,128,log1p,128,128,512
uniform32-log-c4-diagonal_mahalanobis,32,4,128,diagonal_mahalanobis,0.615,0.05,0.2,0.15,0.16666666666666666,256,384,256,log1p,256,128,1024
uniform32-log-c4-ae,32,4,128,ae,0.6325000000000001,0.05,0.2,0.175,0.26666666666666666,256,384,4240,log1p,4224,128,16960
