name,features,context,dimension,model,auc,fpr,recall,alarm_fpr,alarm_recall,context_ms,earliest_3window_alarm_ms,weights_or_parameters,compression,score_multiplications,context_storage_bytes_if_int8,parameter_bytes_if_float32
uniform32-log-c8-centroid,32,8,256,centroid,0.6775,0.05,0.36666666666666664,0.15,0.3333333333333333,512,640,256,log1p,256,256,1024
uniform32-log-c8-diagonal_mahalanobis,32,8,256,diagonal_mahalanobis,0.6166666666666667,0.05,0.2,0.125,0.13333333333333333,512,640,512,log1p,512,256,2048
uniform32-log-c8-ae,32,8,256,ae,0.6608333333333333,0.05,0.16666666666666666,0.175,0.23333333333333334,512,640,8464,log1p,8448,256,33856
mel16-log-c1-centroid,16,1,16,centroid,0.6775,0.05,0.43333333333333335,0.075,0.26666666666666666,64,192,16,log1p,16,16,64
mel16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.6475000000000001,0.05,0.23333333333333334,0.1,0.2,64,192,32,log1p,32,16,128
mel16-log-c1-ae,16,1,16,ae,0.6449999999999999,0.05,0.26666666666666666,0.075,0.16666666666666666,64,192,280,log1p,272,16,1120
mel16-log-c4-centroid,16,4,64,centroid,0.6766666666666667,0.05,0.43333333333333335,0.15,0.4,256,384,64,log1p,64,64,256
mel16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.6458333333333333,0.05,0.23333333333333334,0.175,0.2,256,384,128,log1p,128,64,512
mel16-log-c4-ae,16,4,64,ae,0.6308333333333332,0.05,0.13333333333333333,0.2,0.26666666666666666,256,384,2128,log1p,2112,64,8512
mel16-log-c8-centroid,16,8,128,centroid,0.6766666666666667,0.05,0.43333333333333335,0.15,0.43333333333333335,512,640,128,log1p,128,128,512
mel16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.6491666666666667,0.05,0.23333333333333334,0.125,0.13333333333333333,512,640,256,log1p,256,128,1024
mel16-log-c8-ae,16,8,128,ae,0.6433333333333333,0.05,0.13333333333333333,0.175,0.16666666666666666,512,640,4240,log1p,4224,128,16960
mel32-log-c1-centroid,32,1,32,centroid,0.6241666666666666,0.05,0.4,0.075,0.3333333333333333,64,192,32,log1p,32,32,128
mel32-log-c1-diagonal_mahalanobis,32,1,32,diagonal_mahalanobis,0.6325,0.05,0.16666666666666666,0.1,0.2,64,192,64,log1p,64,32,256
mel32-log-c1-ae,32,1,32,ae,0.6358333333333334,0.05,0.13333333333333333,0.075,0.16666666666666666,64,192,552,log1p,544,32,2208
mel32-log-c4-centroid,32,4,128,centroid,0.6241666666666666,0.05,0.4,0.2,0.43333333333333335,256,384,128,log1p,128,128,512
mel32-log-c4-diagonal_mahalanobis,32,4,128,diagonal_mahalanobis,0.6341666666666667,0.05,0.16666666666666666,0.175,0.23333333333333334,256,384,256,log1p,256,128,1024
mel32-log-c4-ae,32,4,128,ae,0.6075,0.05,0.13333333333333333,0.2,0.23333333333333334,256,384,4240,log1p,4224,128,16960
mel32-log-c8-centroid,32,8,256,centroid,0.6224999999999999,0.05,0.36666666666666664,0.15,0.4,512,640,256,log1p,256,256,1024
mel32-log-c8-diagonal_mahalanobis,32,8,256,diagonal_mahalanobis,0.635,0.05,0.16666666666666666,0.125,0.2,512,640,512,log1p,512,256,2048
mel32-log-c8-ae,32,8,256,ae,0.5958333333333333,0.05,0.13333333333333333,0.175,0.2,512,640,8464,log1p,8448,256,33856
sparse16-log-c1-centroid,16,1,16,centroid,0.4708333333333333,0.05,0.03333333333333333,0.05,0.1,64,192,16,logpower,16,16,64
sparse16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.5308333333333334,0.05,0.03333333333333333,0.05,0.1,64,192,32,logpower,32,16,128
sparse16-log-c1-ae,16,1,16,ae,0.5766666666666667,0.05,0.13333333333333333,0.05,0.0,64,192,280,logpower,272,16,1120
sparse16-log-c4-centroid,16,4,64,centroid,0.4725,0.05,0.03333333333333333,0.075,0.1,256,384,64,logpower,64,64,256
sparse16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.5308333333333334,0.05,0.03333333333333333,0.075,0.1,256,384,128,logpower,128,64,512
sparse16-log-c4-ae,16,4,64,ae,0.56,0.05,0.06666666666666667,0.1,0.1,256,384,2128,logpower,2112,64,8512
sparse16-log-c8-centroid,16,8,128,centroid,0.4725,0.05,0.03333333333333333,0.05,0.1,512,640,128,logpower,128,128,512
sparse16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.53,0.05,0.03333333333333333,0.05,0.1,512,640,256,logpower,256,128,1024
sparse16-log-c8-ae,16,8,128,ae,0.5608333333333333,0.05,0.1,0.125,0.1,512,640,4240,logpower,4224,128,16960
uniform16-log-c1-centroid,16,1,16,centroid,0.4616666666666667,0.05,0.03333333333333333,0.075,0.1,64,192,16,logpower,16,16,64
uniform16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.55,0.05,0.03333333333333333,0.075,0.1,64,192,32,logpower,32,16,128
uniform16-log-c1-ae,16,1,16,ae,0.6333333333333333,0.05,0.23333333333333334,0.05,0.03333333333333333,64,192,280,logpower,272,16,1120
uniform16-log-c4-centroid,16,4,64,centroid,0.46,0.05,0.03333333333333333,0.05,0.1,256,384,64,logpower,64,64,256
uniform16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.55,0.05,0.03333333333333333,0.075,0.1,256,384,128,logpower,128,64,512
uniform16-log-c4-ae,16,4,64,ae,0.6533333333333333,0.05,0.26666666666666666,0.225,0.16666666666666666,256,384,2128,logpower,2112,64,8512
uniform16-log-c8-centroid,16,8,128,centroid,0.46,0.05,0.03333333333333333,0.025,0.1,512,640,128,logpower,128,128,512
uniform16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.5516666666666666,0.05,0.03333333333333333,0.05,0.1,512,640,256,logpower,256,128,1024
uniform16-log-c8-ae,16,8,128,ae,0.6708333333333334,0.05,0.2,0.175,0.13333333333333333,512,640,4240,logpower,4224,128,16960
uniform32-log-c1-centroid,32,1,32,centroid,0.4566666666666667,0.05,0.03333333333333333,0.05,0.1,64,192,32,logpower,32,32,128
uniform32-log-c1-diagonal_mahalanobis,32,1,32,diagonal_mahalanobis,0.5133333333333334,0.05,0.03333333333333333,0.075,0.1,64,192,64,logpower,64,32,256
uniform32-log-c1-ae,32,1,32,ae,0.65,0.05,0.13333333333333333,0.125,0.1,64,192,552,logpower,544,32,2208
uniform32-log-c4-centroid,32,4,128,centroid,0.4558333333333333,0.05,0.03333333333333333,0.05,0.1,256,384,128,logpower,128,128,512
uniform32-log-c4-diagonal_mahalanobis,32,4,128,diagonal_mahalanobis,0.515,0.05,0.03333333333333333,0.075,0.1,256,384,256,logpower,256,128,1024
uniform32-log-c4-ae,32,4,128,ae,0.6108333333333333,0.05,0.1,0.125,0.2,256,384,4240,logpower,4224,128,16960
uniform32-log-c8-centroid,32,8,256,centroid,0.45583333333333337,0.05,0.03333333333333333,0.025,0.1,512,640,256,logpower,256,256,1024
uniform32-log-c8-diagonal_mahalanobis,32,8,256,diagonal_mahalanobis,0.5141666666666667,0.05,0.03333333333333333,0.05,0.1,512,640,512,logpower,512,256,2048
uniform32-log-c8-ae,32,8,256,ae,0.6683333333333333,0.05,0.1,0.15,0.13333333333333333,512,640,8464,logpower,8448,256,33856
mel16-log-c1-centroid,16,1,16,centroid,0.5308333333333333,0.05,0.03333333333333333,0.075,0.1,64,192,16,logpower,16,16,64
mel16-log-c1-diagonal_mahalanobis,16,1,16,diagonal_mahalanobis,0.5775,0.05,0.13333333333333333,0.075,0.1,64,192,32,logpower,32,16,128
mel16-log-c1-ae,16,1,16,ae,0.6133333333333333,0.05,0.23333333333333334,0.05,0.03333333333333333,64,192,280,logpower,272,16,1120
mel16-log-c4-centroid,16,4,64,centroid,0.5308333333333333,0.05,0.03333333333333333,0.075,0.1,256,384,64,logpower,64,64,256
mel16-log-c4-diagonal_mahalanobis,16,4,64,diagonal_mahalanobis,0.5775,0.05,0.1,0.075,0.1,256,384,128,logpower,128,64,512
mel16-log-c4-ae,16,4,64,ae,0.6083333333333333,0.05,0.13333333333333333,0.15,0.1,256,384,2128,logpower,2112,64,8512
mel16-log-c8-centroid,16,8,128,centroid,0.5291666666666666,0.05,0.03333333333333333,0.05,0.1,512,640,128,logpower,128,128,512
mel16-log-c8-diagonal_mahalanobis,16,8,128,diagonal_mahalanobis,0.5775,0.05,0.1,0.075,0.1,512,640,256,logpower,256,128,1024
mel16-log-c8-ae,16,8,128,ae,0.6225,0.05,0.1,0.15,0.1,512,640,4240,logpower,4224,128,16960
mel32-log-c1-centroid,32,1,32,centroid,0.5341666666666667,0.05,0.03333333333333333,0.075,0.1,64,192,32,logpower,32,32,128
mel32-log-c1-diagonal_mahalanobis,32,1,32,diagonal_mahalanobis,0.5633333333333334,0.05,0.13333333333333333,0.05,0.1,64,192,64,logpower,64,32,256
mel32-log-c1-ae,32,1,32,ae,0.5983333333333334,0.05,0.1,0.05,0.06666666666666667,64,192,552,logpower,544,32,2208
mel32-log-c4-centroid,32,4,128,centroid,0.5358333333333334,0.05,0.03333333333333333,0.075,0.1,256,384,128,logpower,128,128,512
mel32-log-c4-diagonal_mahalanobis,32,4,128,diagonal_mahalanobis,0.5658333333333334,0.05,0.13333333333333333,0.075,0.1,256,384,256,logpower,256,128,1024
mel32-log-c4-ae,32,4,128,ae,0.6016666666666666,0.05,0.1,0.1,0.1,256,384,4240,logpower,4224,128,16960
mel32-log-c8-centroid,32,8,256,centroid,0.5358333333333334,0.05,0.03333333333333333,0.05,0.1,512,640,256,logpower,256,256,1024
mel32-log-c8-diagonal_mahalanobis,32,8,256,diagonal_mahalanobis,0.5633333333333332,0.05,0.13333333333333333,0.075,0.1,512,640,512,logpower,512,256,2048
mel32-log-c8-ae,32,8,256,ae,0.6083333333333334,0.05,0.1,0.125,0.1,512,640,8464,logpower,8448,256,33856
