sample_index,service_cycle,z_raw
365,5475100,209
366,5490100,171
367,5505100,133
368,5520100,115
369,5535100,131
370,5550100,175
371,5565100,240
372,5580100,306
373,5595100,348
374,5610100,360
375,5625100,342
376,5640100,313
377,5655100,279
378,5670100,249
379,5685100,212
380,5700100,172
381,5715100,137
382,5730100,115
383,5745100,127
384,5760100,167
385,5775100,236
386,5790100,298
387,5805100,345
388,5820100,357
389,5835100,345
390,5850100,318
391,5865100,279
392,5880100,252
393,5895100,208
394,5910100,176
395,5925100,140
396,5940100,119
397,5955100,125
398,5970100,167
399,5985100,233
400,6000100,296
401,6015100,344
402,6030100,361
403,6045100,345
404,6060100,313
405,6075100,280
406,6090100,252
407,6105100,218
408,6120100,177
409,6135100,140
410,6150100,117
411,6165100,123
412,6180100,167
413,6195100,226
414,6210100,295
415,6225100,341
416,6240100,360
417,6255100,347
418,6270100,316
419,6285100,286
420,6300100,252
421,6315100,220
422,6330100,175
423,6345100,143
424,6360100,117
425,6375100,124
426,6390100,160
427,6405100,218
428,6420100,289
429,6435100,341
430,6450100,359
431,6465100,345
432,6480100,319
433,6495100,285
434,6510100,254
435,6525100,221
436,6540100,182
437,6555100,145
438,6570100,120
439,6585100,120
440,6600100,156
441,6615100,216
442,6630100,289
443,6645100,338
444,6660100,357
445,6675100,347
446,6690100,325
447,6705100,293
448,6720100,254
449,6735100,220
450,6750100,182
451,6765100,146
452,6780100,120
453,6795100,118
454,6810100,148
455,6825100,217
456,6840100,280
457,6855100,338
458,6870100,355
459,6885100,346
460,6900100,325
461,6915100,294
462,6930100,256
463,6945100,225
464,6960100,187
465,6975100,146
466,6990100,122
467,7005100,119
468,7020100,149
469,7035100,213
470,7050100,280
471,7065100,331
472,7080100,355
473,7095100,352
474,7110100,323
475,7125100,293
476,7140100,262
477,7155100,229
478,7170100,186
479,7185100,151
480,7200100,125
481,7215100,117
482,7230100,152
483,7245100,205
484,7260100,273
485,7275100,329
486,7290100,353
487,7305100,354
488,7320100,329
489,7335100,295
490,7350100,266
491,7365100,230
492,7380100,190
493,7395100,153
494,7410100,123
495,7425100,119
496,7440100,147
497,7455100,200
498,7470100,269
499,7485100,328
500,7500100,355
501,7515100,353
502,7530100,332
503,7545100,299
504,7560100,266
505,7575100,232
506,7590100,193
507,7605100,156
508,7620100,122
509,7635100,118
510,7650100,140
511,7665100,198
512,7680100,265
513,7695100,320
514,7710100,356
515,7725100,354
516,7740100,331
517,7755100,300
518,7770100,269
519,7785100,232
520,7800100,199
521,7815100,159
522,7830100,125
523,7845100,117
524,7860100,142
525,7875100,191
526,7890100,265
527,7905100,323
528,7920100,351
529,7935100,355
530,7950100,333
531,7965100,303
532,7980100,267
533,7995100,236
534,8010100,199
535,8025100,162
536,8040100,129
537,8055100,118
538,8070100,139
539,8085100,192
540,8100100,259
541,8115100,319
542,8130100,349
543,8145100,357
544,8160100,332
545,8175100,304
546,8190100,265
547,8205100,238
548,8220100,201
549,8235100,161
550,8250100,128
551,8265100,113
552,8280100,136
553,8295100,187
554,8310100,255
555,8325100,312
556,8340100,354
557,8355100,359
558,8370100,339
559,8385100,303
560,8400100,274
561,8415100,241
562,8430100,203
563,8445100,163
564,8460100,132
565,8475100,117
566,8490100,136
567,8505100,181
568,8520100,251
569,8535100,310
570,8550100,352
571,8565100,354
572,8580100,341
573,8595100,307
574,8610100,273
575,8625100,242
576,8640100,206
577,8655100,165
578,8670100,132
579,8685100,118
580,8700100,132
581,8715100,183
582,8730100,245
583,8745100,311
584,8760100,344
585,8775100,353
586,8790100,339
587,8805100,308
588,8820100,275
589,8835100,242
590,8850100,209
591,8865100,167
592,8880100,134
593,8895100,113
594,8910100,131
595,8925100,175
596,8940100,242
597,8955100,307
598,8970100,347
599,8985100,359
600,9000100,340
601,9015100,310
602,9030100,281
603,9045100,244
604,9060100,212
605,9075100,171
606,9090100,140
607,9105100,120
608,9120100,128
609,9135100,173
610,9150100,236
611,9165100,301
612,9180100,342
613,9195100,359
614,9210100,343
615,9225100,320
616,9240100,277
617,9255100,249
618,9270100,208
619,9285100,173
620,9300100,139
621,9315100,115
622,9330100,129
623,9345100,169
624,9360100,233
625,9375100,298
626,9390100,346
627,9405100,358
628,9420100,344
629,9435100,315
630,9450100,284
631,9465100,250
632,9480100,215
633,9495100,177
634,9510100,136
635,9525100,118
636,9540100,126
637,9555100,164
638,9570100,229
639,9585100,294
640,9600100,345
641,9615100,359
642,9630100,345
643,9645100,315
644,9660100,286
645,9675100,253
646,9690100,215
647,9705100,179
648,9720100,139
649,9735100,119
650,9750100,124
651,9765100,162
652,9780100,227
653,9795100,293
654,9810100,341
655,9825100,362
656,9840100,347
657,9855100,319
658,9870100,285
659,9885100,251
660,9900100,216
661,9915100,178
662,9930100,142
663,9945100,118
664,9960100,120
665,9975100,159
666,9990100,217
667,10005100,290
668,10020100,338
669,10035100,356
670,10050100,351
671,10065100,321
672,10080100,291
673,10095100,258
674,10110100,226
675,10125100,186
676,10140100,146
677,10155100,118
678,10170100,117
679,10185100,151
680,10200100,217
681,10215100,286
682,10230100,334
683,10245100,357
684,10260100,350
685,10275100,323
686,10290100,290
687,10305100,257
688,10320100,226
689,10335100,186
690,10350100,145
691,10365100,121
692,10380100,123
693,10395100,154
694,10410100,209
695,10425100,277
696,10440100,336
697,10455100,356
698,10470100,351
699,10485100,327
700,10500100,298
701,10515100,259
702,10530100,223
703,10545100,191
704,10560100,151
705,10575100,123
706,10590100,116
707,10605100,148
708,10620100,210
709,10635100,279
710,10650100,331
711,10665100,355
712,10680100,352
713,10695100,330
714,10710100,294
715,10725100,264
716,10740100,228
717,10755100,194
718,10770100,153
719,10785100,124
720,10800100,121
721,10815100,148
722,10830100,200
723,10845100,270
724,10860100,329
725,10875100,358
726,10890100,354
727,10905100,327
728,10920100,298
729,10935100,267
730,10950100,228
731,10965100,194
732,10980100,154
733,10995100,124
734,11010100,115
735,11025100,144
736,11040100,202
737,11055100,266
738,11070100,326
739,11085100,356
740,11100100,354
741,11115100,331
742,11130100,300
743,11145100,265
744,11160100,233
745,11175100,200
746,11190100,152
747,11205100,128
748,11220100,117
749,11235100,141
750,11250100,196
751,11265100,265
752,11280100,323
753,11295100,356
754,11310100,355
755,11325100,333
756,11340100,299
757,11355100,271
758,11370100,229
759,11385100,203
760,11400100,160
761,11415100,125
762,11430100,117
763,11445100,137
764,11460100,194
765,11475100,260
766,11490100,319
767,11505100,353
768,11520100,359
769,11535100,337
770,11550100,301
771,11565100,269
772,11580100,239
773,11595100,201
774,11610100,160
775,11625100,130
776,11640100,115
777,11655100,136
778,11670100,192
779,11685100,254
780,11700100,316
781,11715100,353
782,11730100,354
783,11745100,335
784,11760100,306
785,11775100,269
786,11790100,236
787,11805100,202
788,11820100,162
789,11835100,130
790,11850100,114
791,11865100,135
792,11880100,184
793,11895100,254
794,11910100,315
795,11925100,349
796,11940100,358
797,11955100,337
798,11970100,307
799,11985100,271
800,12000100,240
801,12015100,204
802,12030100,165
803,12045100,135
804,12060100,112
805,12075100,130
806,12090100,182
807,12105100,247
808,12120100,313
809,12135100,351
810,12150100,358
811,12165100,339
812,12180100,311
813,12195100,275
814,12210100,240
815,12225100,205
816,12240100,168
817,12255100,134
818,12270100,119
819,12285100,129
820,12300100,175
821,12315100,240
822,12330100,308
823,12345100,347
824,12360100,359
825,12375100,337
826,12390100,310
827,12405100,279
828,12420100,245
829,12435100,208
830,12450100,172
831,12465100,135
832,12480100,117
833,12495100,128
834,12510100,173
835,12525100,237
836,12540100,306
837,12555100,344
838,12570100,361
839,12585100,345
840,12600100,317
841,12615100,284
842,12630100,244
843,12645100,212
844,12660100,174
845,12675100,135
846,12690100,114
847,12705100,125
848,12720100,169
849,12735100,233
850,12750100,299
851,12765100,346
852,12780100,361
853,12795100,346
854,12810100,320
855,12825100,279
856,12840100,248
857,12855100,213
858,12870100,173
859,12885100,137
860,12900100,115
861,12915100,125
862,12930100,167
863,12945100,228
864,12960100,300
865,12975100,340
866,12990100,358
867,13005100,348
868,13020100,316
869,13035100,283
870,13050100,251
871,13065100,214
872,13080100,177
873,13095100,144
874,13110100,117
875,13125100,122
876,13140100,162
877,13155100,228
878,13170100,290
879,13185100,342
880,13200100,355
881,13215100,346
882,13230100,319
883,13245100,284
884,13260100,250
885,13275100,216
886,13290100,178
887,13305100,145
888,13320100,117
889,13335100,123
890,13350100,159
891,13365100,221
892,13380100,289
893,13395100,339
894,13410100,354
895,13425100,347
896,13440100,320
897,13455100,285
898,13470100,258
899,13485100,219
900,13500100,183
901,13515100,147
902,13530100,120
903,13545100,118
904,13560100,156
905,13575100,219
906,13590100,283
907,13605100,337
908,13620100,357
909,13635100,348
910,13650100,319
911,13665100,290
912,13680100,258
913,13695100,224
914,13710100,187
915,13725100,145
916,13740100,122
917,13755100,120
918,13770100,153
919,13785100,212
920,13800100,283
921,13815100,335
922,13830100,358
923,13845100,352
924,13860100,325
925,13875100,291
926,13890100,263
927,13905100,228
928,13920100,187
929,13935100,148
930,13950100,124
931,13965100,118
932,13980100,150
933,13995100,209
934,14010100,278
935,14025100,333
936,14040100,357
937,14055100,350
938,14070100,329
939,14085100,292
940,14100100,260
941,14115100,226
942,14130100,187
943,14145100,151
944,14160100,122
945,14175100,121
946,14190100,145
947,14205100,204
948,14220100,274
949,14235100,329
950,14250100,354
951,14265100,351
952,14280100,326
953,14295100,297
954,14310100,259
955,14325100,228
956,14340100,195
957,14355100,155
958,14370100,124
959,14385100,116
960,14400100,146
961,14415100,200
962,14430100,269
963,14445100,326
964,14460100,359
965,14475100,356
966,14490100,330
967,14505100,300
968,14520100,263
969,14535100,233
970,14550100,192
971,14565100,157
972,14580100,125
973,14595100,113
974,14610100,142
975,14625100,195
976,14640100,263
977,14655100,323
978,14670100,357
979,14685100,353
980,14700100,333
981,14715100,300
982,14730100,270
983,14745100,235
984,14760100,201
985,14775100,157
986,14790100,126
987,14805100,116
988,14820100,142
989,14835100,194
990,14850100,261
991,14865100,321
992,14880100,353
993,14895100,352
994,14910100,334
995,14925100,300
996,14940100,269
997,14955100,235
998,14970100,199
999,14985100,161
1000,15000100,125
1001,15015100,119
1002,15030100,135
1003,15045100,188
1004,15060100,255
1005,15075100,314
1006,15090100,352
1007,15105100,354
1008,15120100,335
1009,15135100,305
1010,15150100,267
1011,15165100,240
1012,15180100,198
1013,15195100,162
1014,15210100,124
1015,15225100,115
1016,15240100,134
1017,15255100,188
1018,15270100,249
1019,15285100,312
1020,15300100,347
1021,15315100,359
1022,15330100,337
1023,15345100,305
