sample_index,service_cycle,z_raw
0,100,188
1,15100,148
2,30100,118
3,45100,122
4,60100,148
5,75100,213
6,90100,278
7,105100,333
8,120100,357
9,135100,348
10,150100,326
11,165100,294
12,180100,256
13,195100,226
14,210100,189
15,225100,146
16,240100,121
17,255100,119
18,270100,151
19,285100,207
20,300100,273
21,315100,334
22,330100,355
23,345100,350
24,360100,328
25,375100,292
26,390100,263
27,405100,231
28,420100,191
29,435100,151
30,450100,123
31,465100,120
32,480100,141
33,495100,204
34,510100,274
35,525100,325
36,540100,356
37,555100,353
38,570100,331
39,585100,294
40,600100,265
41,615100,233
42,630100,196
43,645100,152
44,660100,121
45,675100,117
46,690100,144
47,705100,200
48,720100,268
49,735100,326
50,750100,352
51,765100,356
52,780100,330
53,795100,301
54,810100,266
55,825100,234
56,840100,195
57,855100,160
58,870100,126
59,885100,115
60,900100,145
61,915100,196
62,930100,264
63,945100,323
64,960100,353
65,975100,356
66,990100,333
67,1005100,300
68,1020100,267
69,1035100,237
70,1050100,195
71,1065100,159
72,1080100,125
73,1095100,118
74,1110100,137
75,1125100,191
76,1140100,260
77,1155100,317
78,1170100,354
79,1185100,358
80,1200100,336
81,1215100,303
82,1230100,271
83,1245100,239
84,1260100,202
85,1275100,160
86,1290100,128
87,1305100,119
88,1320100,133
89,1335100,186
90,1350100,253
91,1365100,315
92,1380100,349
93,1395100,356
94,1410100,337
95,1425100,304
96,1440100,271
97,1455100,239
98,1470100,201
99,1485100,161
100,1500100,131
101,1515100,117
102,1530100,136
103,1545100,184
104,1560100,251
105,1575100,314
106,1590100,350
107,1605100,360
108,1620100,339
109,1635100,305
110,1650100,273
111,1665100,239
112,1680100,206
113,1695100,166
114,1710100,135
115,1725100,118
116,1740100,128
117,1755100,179
118,1770100,247
119,1785100,312
120,1800100,351
121,1815100,356
122,1830100,342
123,1845100,308
124,1860100,270
125,1875100,242
126,1890100,209
127,1905100,171
128,1920100,133
129,1935100,115
130,1950100,130
131,1965100,175
132,1980100,244
133,1995100,309
134,2010100,352
135,2025100,363
136,2040100,344
137,2055100,315
138,2070100,278
139,2085100,245
140,2100100,214
141,2115100,169
142,2130100,137
143,2145100,117
144,2160100,129
145,2175100,174
146,2190100,240
147,2205100,300
148,2220100,345
149,2235100,361
150,2250100,347
151,2265100,312
152,2280100,281
153,2295100,246
154,2310100,210
155,2325100,173
156,2340100,140
157,2355100,117
158,2370100,128
159,2385100,168
160,2400100,237
161,2415100,299
162,2430100,343
163,2445100,357
164,2460100,347
165,2475100,315
166,2490100,282
167,2505100,253
168,2520100,214
169,2535100,175
170,2550100,139
171,2565100,118
172,2580100,127
173,2595100,167
174,2610100,232
175,2625100,295
176,2640100,343
177,2655100,360
178,2670100,344
179,2685100,319
180,2700100,285
181,2715100,250
182,2730100,217
183,2745100,179
184,2760100,140
185,2775100,118
186,2790100,122
187,2805100,165
188,2820100,225
189,2835100,295
190,2850100,338
191,2865100,354
192,2880100,346
193,2895100,321
194,2910100,283
195,2925100,251
196,2940100,219
197,2955100,179
198,2970100,142
199,2985100,118
200,3000100,120
201,3015100,162
202,3030100,218
203,3045100,288
204,3060100,341
205,3075100,360
206,3090100,351
207,3105100,320
208,3120100,288
209,3135100,255
210,3150100,222
211,3165100,182
212,3180100,146
213,3195100,122
214,3210100,123
215,3225100,156
216,3240100,220
217,3255100,284
218,3270100,336
219,3285100,360
220,3300100,349
221,3315100,327
222,3330100,289
223,3345100,254
224,3360100,224
225,3375100,186
226,3390100,147
227,3405100,121
228,3420100,117
229,3435100,154
230,3450100,212
231,3465100,280
232,3480100,331
233,3495100,353
234,3510100,348
235,3525100,325
236,3540100,289
237,3555100,261
238,3570100,223
239,3585100,191
240,3600100,148
241,3615100,124
242,3630100,121
243,3645100,150
244,3660100,208
245,3675100,277
246,3690100,333
247,3705100,359
248,3720100,353
249,3735100,327
250,3750100,290
251,3765100,259
252,3780100,227
253,3795100,191
254,3810100,153
255,3825100,124
256,3840100,118
257,3855100,148
258,3870100,204
259,3885100,270
260,3900100,333
261,3915100,356
262,3930100,351
263,3945100,329
264,3960100,298
265,3975100,264
266,3990100,232
267,4005100,195
268,4020100,155
269,4035100,125
270,4050100,120
271,4065100,147
272,4080100,196
273,4095100,268
274,4110100,327
275,4125100,354
276,4140100,353
277,4155100,333
278,4170100,296
279,4185100,264
280,4200100,234
281,4215100,195
282,4230100,154
283,4245100,127
284,4260100,117
285,4275100,142
286,4290100,195
287,4305100,267
288,4320100,323
289,4335100,354
290,4350100,358
291,4365100,335
292,4380100,299
293,4395100,270
294,4410100,232
295,4425100,197
296,4440100,161
297,4455100,124
298,4470100,119
299,4485100,142
300,4500100,188
301,4515100,259
302,4530100,321
303,4545100,355
304,4560100,355
305,4575100,333
306,4590100,309
307,4605100,268
308,4620100,237
309,4635100,199
310,4650100,163
311,4665100,127
312,4680100,114
313,4695100,139
314,4710100,193
315,4725100,259
316,4740100,319
317,4755100,353
318,4770100,357
319,4785100,331
320,4800100,302
321,4815100,271
322,4830100,236
323,4845100,202
324,4860100,163
325,4875100,130
326,4890100,112
327,4905100,135
328,4920100,184
329,4935100,254
330,4950100,315
331,4965100,352
332,4980100,358
333,4995100,336
334,5010100,305
335,5025100,271
336,5040100,240
337,5055100,203
338,5070100,164
339,5085100,129
340,5100100,116
341,5115100,134
342,5130100,180
343,5145100,247
344,5160100,315
345,5175100,352
346,5190100,359
347,5205100,336
348,5220100,308
349,5235100,275
350,5250100,243
351,5265100,207
352,5280100,166
353,5295100,133
354,5310100,116
355,5325100,132
356,5340100,177
357,5355100,242
358,5370100,307
359,5385100,351
360,5400100,359
361,5415100,337
362,5430100,306
363,5445100,279
364,5460100,244
